Word_Original,Hierarchical_Entity_Tag
1.,POEM_NUMBER
திருமால்,DIVINE_BEING_VISHNU
எரிமலர்,NATURE_FLOWER_FLAMEFLOWER
சினைஇய,ACTION_BLOSSOM_VERB
கண்ணை,BODY_PART_EYE
பூவை,NATURE_FLOWER_BUD
விரிமலர்,NATURE_FLOWER_BLOOMING
புரையும்,ACTION_RESEMBLE_VERB
மேனியை,BODY_PART_BODY
மேனித்,ATTRIBUTE_BEAUTY
திரு,DIVINE_ATTRIBUTE_GRACE
ஞெமிர்ந்து,ACTION_SMILE_VERB
அமர்ந்த,ACTION_SIT_VERB
மார்பினை,BODY_PART_CHEST
மார்பில்,LOCATION_CHEST
தெரிமணி,OBJECT_JEWEL_CRYSTAL
பிறங்கும்,ACTION_SHINE_VERB
பூணினை,OBJECT_ORNAMENT_NECKLACE
மால்வரை,GEOGRAPHY_MOUNTAIN
எரி,NATURE_FIRE
திரிந்தன்ன,ACTION_REVOLVE_VERB
பொன்,MATERIAL_GOLD
புனை,ACTION_ADORN_VERB
உடுக்கையை,CLOTHING_GARMENT
சேவலம்,ANIMAL_BIRD_ROOSTER
கொடியோய்,DIVINE_BEING_BANNERBEARER
நின்,PRONOUN_POSSESSIVE_YOUR
வலவயின்,PERSON_PROFESSION_CHARIOTEER
நிறுத்தும்,ACTION_STAND_VERB
ஏவல்,COMMAND_ORDER
உழந்தமை,ACTION_ENDURE_VERB
கூறும்,ACTION_SPEAK_VERB
நாவல்,NATURE_TREE_NAVAL
அந்தணர்,PERSON_BRAHMIN
அருமறை,WISDOM_SECRET
பொருளே,CONCEPT_MEANING
அமர்,NATURE_WAR
வென்ற,ACTION_WIN_VERB
கணை,WEAPON_ARROW
இணை,OBJECT_PAIR
பிரி,ACTION_SEPARATE_VERB
அணி,OBJECT_ORNAMENT
துணி,CLOTHING_CLOTH
பணி,ACTION_SERVE_VERB
எரி,NATURE_FIRE
புரை,ACTION_RESEMBLE_VERB
விடர்,GEOLOGY_CRACK
இடு,ACTION_PLACE_VERB
சுடர்,NATURE_LIGHT
படர்,ACTION_SPREAD_VERB
பொலம்,MATERIAL_GOLD
புனை,ACTION_ADORN_VERB
வினை,ACTION_DO_VERB
மலர்,NATURE_FLOWER
நெரி,ACTION_CRUSH_VERB
திரட்,ATTRIBUTE_THICK
எரி,NATURE_FIRE
புரை,ACTION_RESEMBLE_VERB
தன,PRONOUN_SELF
மிகு,ATTRIBUTE_MUCH
தன,PRONOUN_SELF
முரண்,OBJECT_OPPOSITE
மிகு,ATTRIBUTE_MUCH
கடல்,NATURE_SEA
அரு,ATTRIBUTE_RARE
மணி,OBJECT_JEWEL
ஒடும்,CONJUNCTION_AND
முத்து,OBJECT_PEARL
யாத்த,ACTION_STRING_VERB
நேரணி,OBJECT_ORNAMENT
நெறி,PATH_WAY
செறி,ACTION_FILL_VERB
வெறி,AROMA_FRAGRANCE
உறு,ACTION_RECEIVE_VERB
முறல்,ACTION_BRAVE_VERB
விறல்,ACTION_VALIANT_VERB
வணங்கு,ACTION_BOW_VERB
அணங்கு,DIVINE_BEING_GODDESS
வில்,WEAPON_BOW
தார்,OBJECT_GARLAND
அணி,OBJECT_ORNAMENT
துணி,CLOTHING_CLOTH
மணி,OBJECT_JEWEL
வெயில்,NATURE_SUNLIGHT
உறழ்,ACTION_COMPARE_VERB
எழில்,ATTRIBUTE_BEAUTY
புகழ்,ATTRIBUTE_FAME
அலர்,NATURE_FLOWER
மார்பின்,BODY_PART_CHEST
எரி,NATURE_FIRE
வயிர,OBJECT_DIAMOND
நுதி,WEAPON_TIP
எறி,ACTION_THROW_VERB
படை,WEAPON_WEAPON
எருத்து,BODY_PART_NECK
மலை,GEOGRAPHY_MOUNTAIN
இவர்,ACTION_COME_VERB
நவையினில்,LOCATION_SPOT
துணி,ACTION_DECIDE_VERB
படல்,ACTION_FALL_VERB
இன,ADJECTIVE_SUCH
மணி,OBJECT_JEWEL
வெயில்,NATURE_SUNLIGHT
உறழ்,ACTION_COMPARE_VERB
எழில்,ATTRIBUTE_BEAUTY
நக்கு,ACTION_LICK_VERB
இமை,BODY_PART_EYELID
இருள்,NATURE_DARKNESS
அகல,ACTION_GO_VERB
முறு,ACTION_GROW_VERB
கிறுகு,ACTION_TREMBLE_VERB
புரி,ACTION_DO_VERB
ஒரு,ADJECTIVE_ONE
புரி,ACTION_DO_VERB
நாள்,TIME_DAY
மலர்,NATURE_FLOWER
மலர்,NATURE_FLOWER
இலகின,ACTION_SHINE_VERB
வளர்,ACTION_GROW_VERB
பரிதி,NATURE_SUN
ஒளி,NATURE_LIGHT
மணி,OBJECT_JEWEL
மார்பு,BODY_PART_CHEST
அணி,OBJECT_ORNAMENT
மணம்,AROMA_FRAGRANCE
மிக,ATTRIBUTE_MUCH
நாறு,ACTION_SMELL_VERB
உருவின,BODY_FORM
விரை,AROMA_FRAGRANCE
வளி,NATURE_WIND
மிகு,ATTRIBUTE_MUCH
கடு,ATTRIBUTE_SHARP
விசை,POWER_SPEED
உடு,ACTION_WEAR_VERB
உறு,ACTION_RECEIVE_VERB
தலை,BODY_PART_HEAD
நிரை,OBJECT_ROW
இதழ்,BODY_PART_LIP
அணி,OBJECT_ORNAMENT
வயிறு,BODY_PART_STOMACH
இரிய,ACTION_FEAR_VERB
அமரர்,DIVINE_BEING_GOD
போர்,NATURE_WAR
எழுந்து,ACTION_RISE_VERB
உடன்று,ACTION_ANGRY_VERB
இரைத்து,ACTION_ROAR_VERB
உரை,ACTION_SPEAK_VERB
இய,ACTION_SAY_VERB
தானவர்,DEMON_ASURA
சிரம்,BODY_PART_HEAD
உமிழ்,ACTION_SPIT_VERB
புனல்,NATURE_WATER
பொழி,ACTION_POUR_VERB
பு,PARTICLE
இழிந்து,ACTION_DESCEND_VERB
உரம்,STRENGTH_POWER
உதிர்பு,ACTION_DROP_VERB
அதிர்பு,ACTION_SHAKE_VERB
அலம்,OBJECT_PESTLE
தொடா,ACTION_TOUCH_VERB
அமர்,NATURE_WAR
வென்ற,ACTION_WIN_VERB
கணை,WEAPON_ARROW
சொல்லில்,LANGUAGE_WORD
அடங்கா,ACTION_CONTAIN_VERB
பெரும்புகழ்,ATTRIBUTE_GREATFAME
பொருவேம்,ACTION_COMPETE_VERB
என்றவர்,PRONOUN_THOSE
மதம்,WISDOM_INTELLIGENCE
தப,ACTION_PENANCE_VERB
கடந்து,ACTION_CROSS_VERB
செரு,NATURE_WAR
மேம்பட்ட,ACTION_EXCELLED_VERB
செயிர்,ATTRIBUTE_BLEMISH
தீர்,ACTION_REMOVE_VERB
அண்ணல்,PERSON_LORD
இருவர்,PERSON_TWO
தாதை,PERSON_FATHER
இலங்கு,ACTION_SHINE_VERB
பூண்,OBJECT_ORNAMENT
மாவல்,TREE_BANANA
தெருள,ACTION_UNDERSTAND_VERB
நின்,PRONOUN_POSSESSIVE_YOUR
வரவு,ACTION_COME_VERB
அறிதல்,ACTION_KNOW_VERB
மருள்,ATTRIBUTE_ILLUSION
அறு,ACTION_REMOVE_VERB
தேர்ச்சி,WISDOM_KNOWLEDGE
முனைவர்க்கும்,PEOPLE_SCHOLARS
அரிதே,ATTRIBUTE_RARE
அன்ன,ADJECTIVE_SUCH
மரபின்,TRADITION_LINEAGE
அனையோய்,PRONOUN_SUCHONE
நின்னை,PRONOUN_YOU
இன்னன்,PRONOUN_SUCH
என்று,CONJUNCTION_THAT
உரைத்தல்,ACTION_SPEAK_VERB
எமக்கு,PRONOUN_US
எவன்,QUESTION_WHY
எளிது,ATTRIBUTE_EASY
அருமை,ATTRIBUTE_RARE
நற்கு,ADVERB_WELL
அறியினும்,ACTION_KNOW_VERB
ஆர்வம்,EMOTION_DESIRE
நின்வயின்,LOCATION_YOURSIDE
பெருமையின்,ATTRIBUTE_GREATNESS
வல்லாயாம்,ABLE_CAN
இவண்,LOCATION_HERE
மொழிபவை,ACTION_SPEAK_VERB
மெல்லிய,ATTRIBUTE_SOFT
எனாஅ,CONJUNCTION_AS
வெறாஅது,ACTION_DISLIKE_VERB
அல்லி,FLOWER_LILY
அம்,ATTRIBUTE_BEAUTIFUL
திரு,DIVINE_ATTRIBUTE_GRACE
மறு,ATTRIBUTE_BLEMISH
மார்ப,BODY_PART_CHEST
நீ,PRONOUN_YOU
அருளல்,ACTION_BLESS_VERB
வேண்டும்,ACTION_WANT_VERB
துதி,ACTION_PRAISE_VERB
மொழிகள்,LANGUAGE_WORDS
விறல்,ACTION_VALIANT_VERB
மிகு,ATTRIBUTE_MUCH
விழுச்சீர்,ATTRIBUTE_EXCELLENCE
அந்தணர்,PERSON_BRAHMIN
காக்கும்,ACTION_PROTECT_VERB
அறனும்,VIRTUE_DHARMA
ஆர்வலர்க்கு,PEOPLE_DESIRERS
அளியும்,GIFT_GIVING
நீ,PRONOUN_YOU
திறன்,ABILITY_SKILL
இலோர்த்,PEOPLE_WITHOUTSKILL
திருத்திய,ACTION_CORRECT_VERB
தீது,EVIL_BAD
தீர்,ACTION_REMOVE_VERB
சிறப்பின்,ATTRIBUTE_EXCELLENCE
மறனும்,VIRTUE_VALOR
மாற்றலர்க்கு,ENEMY_OPPONENTS
அணங்கும்,DIVINE_BEING_GODDESS
நீ,PRONOUN_YOU
அங்கண்,SPACE_REGION
ஏர்,ATTRIBUTE_BEAUTIFUL
வானத்து,LOCATION_SKY
அணி,OBJECT_ORNAMENT
நிலாத்,NATURE_MOON
திகழ்தரும்,ACTION_SHINE_VERB
திங்களும்,NATURE_MOON
தெறு,ACTION_BURN_VERB
கதிர்,NATURE_RAY
கனலியும்,NATURE_FIRE
நீ,PRONOUN_YOU
ஐந்தலை,ANIMAL_FIVEHEADED
உயிரிய,LIFE_LIVING
அணங்குடை,DIVINE_BEING_GODDESS
அரும்,ATTRIBUTE_RARE
திறல்,ABILITY_POWER
மைந்துடை,YOUTH_STRENGTH
ஒருவனும்,PERSON_ONE
மடங்கலும்,ANIMAL_LION
நீ,PRONOUN_YOU
நலம்,ATTRIBUTE_GOODNESS
முழுது,ATTRIBUTE_ALL
அளைஇய,ACTION_CONTAIN_VERB
புகர்,ATTRIBUTE_BLEMISH
அறு,ACTION_REMOVE_VERB
காட்சிப்,VISION_SIGHT
புலமும்,KNOWLEDGE_LEARNING
பூவனும்,NATURE_FLOWER
நாற்றமும்,AROMA_FRAGRANCE
நீ,PRONOUN_YOU
வலன்,STRENGTH_POWER
உயர்,ACTION_RISE_VERB
எழிலியும்,CLOUD_RAINCLOUD
மாக,ATTRIBUTE_GREAT
விசும்பும்,LOCATION_SKY
நிலனும்,GEOGRAPHY_EARTH
நீடிய,ATTRIBUTE_LONG
இமயமும்,GEOGRAPHY_HIMALAYA
நீ,PRONOUN_YOU
அதனால்,CONJUNCTION_THEREFORE
இன்னோர்,PRONOUN_SUCHONES
அனையை,PRONOUN_SUCH
இனையையால்,PRONOUN_SUCH
என,CONJUNCTION_AS
அன்னோர்,PRONOUN_SUCHONES
யாம்,PRONOUN_WE
இவண்,LOCATION_HERE
காணாமையின்,ACTION_SEE_VERB
பொன்,MATERIAL_GOLD
அணி,OBJECT_ORNAMENT
நேமி,WEAPON_DISCUS
வலம்,POWER_STRENGTH
கொண்டு,ACTION_TAKE_VERB
ஏந்திய,ACTION_HOLD_VERB
மன்னுயிர்,LIFE_LIVINGBEINGS
முதல்வனை,FIRST_LORD
ஆதலின்,CONJUNCTION_BECAUSE
நின்னோர்,PRONOUN_YOUONES
அனையை,PRONOUN_SUCH
நின்,PRONOUN_POSSESSIVE_YOUR
புகழோடும்,ATTRIBUTE_FAME
பொலிந்தே,ACTION_SHINE_VERB
நின்,PRONOUN_POSSESSIVE_YOUR
ஒக்கும்,ACTION_RESEMBLE_VERB
புகழ்,ATTRIBUTE_FAME
நிழலவை,SHADE_SHADOW
பொன்,MATERIAL_GOLD
ஒக்கும்,ACTION_RESEMBLE_VERB
உடையவை,OBJECT_POSSESSIONS
புள்ளின்,BIRD_BIRD
கொடியவை,BANNER_FLAG
புரிவளையினவை,OBJECT_BRACELETS
எள்ளுநர்க்,PEOPLE_DESPISERS
கடந்து,ACTION_CROSS_VERB
அட்ட,ACTION_KILL_VERB
இகல்,NATURE_CONFLICT
நேமியவை,WEAPON_DISCUS
மண்ணுறு,EARTH_SOIL
மணி,OBJECT_JEWEL
பாய்,ACTION_SPREAD_VERB
உருவினவை,SHAPE_FORM
எண்,NUMBER_COUNT
இறந்த,ACTION_EXCEED_VERB
புகழவை,ATTRIBUTE_FAME
எழில்,ATTRIBUTE_BEAUTY
மார்பினவை,BODY_PART_CHEST
ஆங்கு,ADVERB_THUS
காமரு,DESIRE_LOVE
சுற்றமொடு,FAMILY_RELATIVES
ஒருங்கு,TOGETHER_UNITED
நின்,PRONOUN_POSSESSIVE_YOUR
அடியுறை,FOOT_SHELTER
யாம்,PRONOUN_WE
இயைந்து,ACTION_UNITE_VERB
ஒன்றுபு,ACTION_UNITE_VERB
வைகலும்,TIME_DAILY
பொலிக,ACTION_SHINE_VERB
என,CONJUNCTION_AS
ஏமுறு,SECURE_SAFE
நெஞ்சத்தேம்,HEART_HEART
பரவுதும்,ACTION_PRAISE_VERB
வாய்மொழி,TRUTH_TRUTHFULWORD
புலவ,POET_POET
நின்,PRONOUN_POSSESSIVE_YOUR
தாள்,FOOT_FOOT
நிழல்,SHADE_SHADOW
தொழுதே,ACTION_WORSHIP_VERB
கடவுள்,DIVINE_BEING_GOD
வாழ்த்து,ACTION_BLESS_VERB
2.,POEM_NUMBER
திருமால்,DIVINE_BEING_VISHNU
பாடியவர்,POET_POET
::,PUNCTUATION_COLON
கீரந்தையார்,POET_KEERANTHAIYAR
இசையமைத்தவர்,MUSICIAN_COMPOSER
::,PUNCTUATION_COLON
நன்னாகனார்,MUSICIAN_NANNAGANAR
இசை,MUSIC_MELODY
பண்,MUSIC_MELODY
::,PUNCTUATION_COLON
பாலையாழ்,MUSIC_PALAYA_YAZH
திருமாலின்,DIVINE_BEING_VISHNU
பெருமை,ATTRIBUTE_GREATNESS
ஊழிகளின்,TIME_EON
தோற்றம்,ACTION_ORIGINATE_VERB
தொல்,ATTRIBUTE_ANCIENT
முறை,ORDER_SYSTEM
இயற்கையின்,NATURE_NATURE
மதியொ,WISDOM_INTELLIGENCE
...,PUNCTUATION_ELLIPSIS
.....,PUNCTUATION_ELLIPSIS
...,PUNCTUATION_ELLIPSIS
மரபிற்று,TRADITION_CUSTOM
ஆக,ACTION_BECOME_VERB
பசும்,COLOR_GREEN
பொன்னுலகமும்,HEAVEN_GOLDENWORLD
மண்ணும்,GEOGRAPHY_EARTH
பாழ்பட,ACTION_DESTROY_VERB
விசும்பில்,LOCATION_SKY
ஊழி,TIME_EON
ஊழ்ஊழ்,TIME_EON
செல்லக்,ACTION_GO_VERB
