Word_Original,Hierarchical_Entity_Tag
ஆறு,WAY
அறி,KNOWLEDGE
அந்தணர்க்கு,PRIEST
அருமறை,SACRED_TEXT
பல,QUANTITY_MANY
பகர்ந்து,SPEECH_RECITE
தேறு,LIQUID_CLEAR
நீர்,WATER
சடை,HAIR_MAT
கரந்து,HIDING
திரிபுரம்,THREE_CITIES
தீ,FIRE
மடுத்து,ACTION_IMMERSE
கூறாமல்,SPEECH_WITHOUT
குறித்து,AIM
தன்,PRONOUN_HIS
மேல்,PLACE_ABOVE
செல்லும்,MOTION_GO
கடும்,INTENSITY_FIERCE
கூளி,DEMON
மாறா,ACTION_UNCHANGING
போர்,WAR
மணி,BELL
மிடற்று,NECK
எண்,NUMBER_EIGHT
கையாய்,BODY_PART_HAND
கேள்,COMMAND_LISTEN
இனி,TIME_NOW
படு,SOUND
பறை,DRUM
பல,QUANTITY_MANY
இயம்ப,SOUND_RESOUND
பல்,QUANTITY_MANY
உருவம்,FORM
பெயர்த்து,CHANGE
நீ,PRONOUN_YOU
கொடுகொட்டி,DANCE
ஆடும்கால்,DANCE_WHEN
கோடு,ELEPHANT_TUSK
உயர்,HEIGHT_HIGH
அகல்,WIDTH_BROAD
அல்குல்,WAIST
கொடி,CREEPER
புரை,RESEMBLE
நுசுப்பினாள்,WAIST
கொண்ட,POSSESS
சீர்,BEAUTY
தருவாளோ,GIVE_WILL_SHE
மண்டு,BATTLE
அமர்,WAR
பல,QUANTITY_MANY
கடந்து,CROSS
மதுகையால்,INTOXICATION
நீறு,ASH
அணிந்து,ADORN
பண்டரங்கம்,DANCE
ஆடும்கால்,DANCE_WHEN
பணை,DRUM
எழில்,BEAUTY
அணை,BED
மென்தோள்,SOFT_SHOULDER
வண்டு,BEE
அரற்றும்,SOUND_HUM
கூந்தலாள்,HAIR
வளர்,GROW
தூக்கு,WEAVING
தருவாளோ,GIVE_WILL_SHE
கொலை,MURDER
உழுவை,LEOPARD
தோல்,SKIN
அசைஇ,WEAR
கொன்றை,FLOWER_FLAMEFLOWER
தார்,GARLAND
சுவல்,SHOULDER
புரள,ROLL
தலை,HEAD
அங்கை,HAND_PALM
கொண்டு,HOLD
நீ,PRONOUN_YOU
காபாலம்,SKULL
ஆடும்கால்,DANCE_WHEN
முலை,BREAST
அணிந்த,ADORNED
முறுவலாள்,SMILE
முன்,FRONT
பாணி,MUSIC
தருவாளோ,GIVE_WILL_SHE
என,SAY
ஆங்கு,THUS
பாணியும்,MUSIC
தூக்கும்,WEAVING
சீரும்,BEAUTY
என்று,CALLED
இவை,THESE
மாண்,BEAUTY
இழை,JEWEL
அரிவை,WOMAN
காப்ப,PROTECT
ஆணம்,FOOD
இல்,WITHOUT
பொருள்,WEALTH
எமக்கு,US
அமர்ந்தனை,RESIDE
ஆடி,DANCE
தொடங்கல்,BEGINNING
கண்,EYE
தோன்றிய,APPEARED
முதியவன்,ELDER
முதலாக,BEGINNING_WITH
அடங்காதார்,UNCONTROLLED
மிடல்,STRENGTH
சாய,DESTROY
அமரர்,GODS
வந்து,COME
இரத்தலின்,BEGGING
மடங்கல்,LION
போல்,LIKE
சினைஇ,ANGER
மாயம்,ILLUSION
செய்,DO
அவுணரை,ASURAS
கடந்து,CROSS
அடு,KILL
முன்பொடு,STRENGTH
முக்கண்ணான்,THREE_EYED_GOD
மூவெயிலும்,THREE_FORTRESSES
உடன்றக்கால்,ANGER_WHEN
முகம்,FACE
போல்,LIKE
ஒண்,BRIGHT
கதிர,RAY
தெறுதலின்,BURNING
சீறு,ANGER
அரும்,DIFFICULT
கணிச்சியோன்,AXE_GOD
சினவலின்,ANGER
அவ்வெயில்,THAT_SUN
ஏறு,BULL
பெற்று,OBTAIN
உதிர்வன,FALL
போல்,LIKE
வரை,MOUNTAIN
பிளந்து,SPLIT
இயங்குநர்,TRAVELER
ஆறு,WAY
கெட,DESTROY
விலங்கிய,OBSTRUCTED
அழல்,FIRE
அவிர்,SHINE
ஆர்,DIFFICULT
இடை,PLACE
மறப்பு,FORGET
அரும்,DIFFICULT
காதல்,LOVE
இவள்,SHE
ஈண்டு,HERE
ஒழிய,REMAIN
இறப்ப,CROSS
துணிந்தனிர்,DARE
கேண்மின்,LISTEN
மற்று,FURTHER
ஐய,FRIEND
தொலைவு,DESTRUCTION
ஆகி,BECOME
இரந்தோர்க்கு,BEGGARS
ஒன்று,ONE_THING
ஈயாமை,NOT_GIVING
இழிவு,DISGRACE
என,SAY
மலை,MOUNTAIN
இறந்து,CROSS
செயல்,ACTION
சூழ்ந்த,PLANNED
பொருள்,WEALTH
பொருள்,WEALTH
ஆகுமோ,WILL_IT_BE
நிலைஇய,STEADFAST
கற்பினாள்,CHASTITY_WOMAN
நீ,PRONOUN_YOU
நீப்பిన்,LEAVE_IF
வாழாதாள்,WON'T_LIVE_SHE
முலை,BREAST
ஆகம்,CHEST
பிரியாமை,NOT_SEPARATING
பொருள்,WEALTH
ஆயின்,IF
அல்லதை,OTHERWISE
இல்,NO
என,SAY
இரந்தோர்க்கு,BEGGARS
ஒன்று,ONE_THING
ஈயாமை,NOT_GIVING
இழிவு,DISGRACE
என,SAY
கல்,STONE
இறந்து,CROSS
செயல்,ACTION
சூழ்ந்த,PLANNED
பொருள்,WEALTH
பொருள்,WEALTH
ஆகுமோ,WILL_IT_BE
தொல்,ANCIENT
இயல்,NATURE
வழாஅமை,WITHOUT_FAULT
துணை,COMPANION
என,SAY
புணர்ந்தவள்,UNITED_SHE
புல்,GRASS
ஆகம்,CHEST
பிரியாமை,NOT_SEPARATING
பொருள்,WEALTH
ஆயின்,IF
அல்லதை,OTHERWISE
இடன்,PLACE
இன்றி,WITHOUT
இரந்தோர்க்கு,BEGGARS
ஒன்று,ONE_THING
ஈயாமை,NOT_GIVING
இழிவு,DISGRACE
என,SAY
கடன்,DUTY
இறந்து,CROSS
செயல்,ACTION
சூழ்ந்த,PLANNED
பொருள்,WEALTH
பொருள்,WEALTH
ஆகுமோ,WILL_IT_BE
வடமீன்,NORTH_STAR
போல்,LIKE
தொழுது,WORSHIP
ஏத்த,PRAISE
வயங்கிய,SHINING
கற்பினாள்,CHASTITY_WOMAN
தட,SOFT
மென்தோள்,SOFT_SHOULDER
பிரியாமை,NOT_SEPARATING
பொருள்,WEALTH
ஆயின்,IF
அல்லதை,OTHERWISE
என,SAY
இவள்,SHE
புன்கண்,SORROW
கொண்டு,HOLD
இனையவும்,GRIEVE
பொருள்,WEALTH
வயின்,FOR
அகறல்,GOING
அன்பு,AFFECTION
அன்று,NOT
என்று,SAY
யான்,I
கூற,SAY
அன்புற்று,AFFECTIONATE
காழ்,STRENGTH
வரை,MOUNTAIN
நில்லாக,NOT_STAND
கடும்,FIERCE
களிற்று,MALE_ELEPHANT
ஒருத்தல்,ONE
யாழ்,LUTE
வரை,STRING
தங்கியாங்கு,STOPPED_LIKE
தாழ்பு,DELAY
நின்,YOUR
தொல்கவின்,ANCIENT_BEAUTY
தொலைதல்,PERISH
அஞ்சி,FEAR
என்,MY
சொல்வரை,WORD_LIMIT
தங்கினர்,STOPPED
காதலோரே,LOVERS
அறன்,RIGHTEOUSNESS
இன்றி,WITHOUT
அயல்,OTHERS
தூற்றும்,GOSSIP
அம்பலை,GOSSIP
நாணியும்,ASHAMED
வறன்,DROUGHT
நீந்தி,SWIM
நீ,YOU
செல்லும்,GO
நீள்,LONG
இடை,WAY
நினைப்பவும்,THINK
இறை,LORD
நில்லா,NOT_STAND
வளை,BRACELET
ஓட,SLIP
இதழ்,EYELID
சோர்பு,DRIP
பனಿ,TEARS
மல்க,FILL
பொறை,BURDEN
நில்லா,NOT_STAND
நோயோட,SICKNESS
புல்லென்ற,FADED
நுதல்,FOREHEAD
இவள்,SHE
விறல்,VALOR
நலன்,BEAUTY
இழப்பவும்,LOSE
வினை,DEED
வேட்டாய்,DESIRED_ONE
கேஎள்,LISTEN
இனி,NOW
உடை,POSSESSOR
இவள்,SHE
உயிர,LIFE
வாழாள்,WON'T_LIVE
நீ,YOU
நீப்பின்,LEAVE_IF
என,SAY
பல,MANY
இடை,OBSTACLE
கொண்டு,TAKE
யாம்,WE
இரப்பவும்,BEG
எம,OUR
கொள்ளாய்,NOT_ACCEPT
ஆயினை,BECAME
கடைஇய,PROCEEDED
ஆற்று,RIVER
இடை,MIDDLE
நீர்,WATER
நீத்த,LEFT
வறும்,DRY
சுனை,POND
அடையொட,PLANT
வாடிய,WILTED
அணி,BEAUTIFUL
மலர்,FLOWER
தகைப்பன,RESEMBLE
வல்லை,QUICKLY
நீ,YOU
துறப்பாயேல்,LEAVE_IF
வகை,METHOD
வாடும்,WITHER
இவள்,SHE
என,SAY
ஒல்லாங்கு,QUICKLY
யாம்,WE
இரப்பவும்,BEG
உணர்ந்து,UNDERSTAND
ஈயாய்,NOT_GIVE
ஆயினை,BECAME
செல்லு,GO
நீள்,LONG
ஆற்று,RIVER
இடை,MIDDLE
சேர்ந்து,JOINED
எழுந்த,ROSE
மரம்,TREE
வாட,WITHER
புல்லு,GRASS
விட்டு,LEFT
இறைஞ்சிய,BOWED
பூங்கொடி,FLOWER_CREEPER
தகைப்பன,RESEMBLE
பிணிபு,TIE
நீ,YOU
விடல்,LEAVE
சூழின்,PLAN_IF
பிறழ்தரும்,CHANGE
இவள்,SHE
என,SAY
பணிபு,HUMBLE
வந்து,COME
இரப்பவும்,BEG
பல,MANY
சூழ்வாய்,PLAN_YOU
ஆயினை,BECAME
துணிபு,DECIDE
நீ,YOU
செல,GO
கண்ட,SAW
ஆற்று,RIVER
இடை,MIDDLE
அம்மரத்து,THAT_TREE
அணி,BEAUTY
செல,GO
வாடிய,WILTED
அம்,BEAUTIFUL
தளிர,TENDER_LEAF
தகைப்பன,RESEMBLE
என,SAY
ஆங்கு,THUS
யாம்,WE
நின்,YOUR
கூறவும்,SAY
எம,OUR
கொள்ளாய்,NOT_ACCEPT
ஆயினை,BECAME
ஆனாது,UNCEASING
இவள்,SHE
போல்,LIKE
அருள்,MERCY
வந்தவை,COME
காட்டி,SHOW
மேல்,ABOVE
நின்று,STAND
மெய்,TRUTH
கூறும்,SAY
கேளிர்,FRIENDS
போல்,LIKE
நீ,YOU
செல்லும்,GO
கானம்,FOREST
தகைப்ப,RESEMBLE
செலவு,JOURNEY
வலி,STRENGTH
முன்பின்,BEHIND
வல்லென்ற,HARD
யாக்கை,BODY
புலி,TIGER
நோக்கின்,LOOK
சுற்று,CIRCLE
அமை,CONSTRUCT
வில்லர்,BOWMEN
சுரி,CURL
வளர்,GROW
பித்தையர்,FOOLISH
அற்றம்,WEAKNESS
பார்த்து,LOOK
அல்கும்,STAY
கடுங்கண்,CRUEL_EYE
மறவர்,WARRIORS
தாம்,THEY
கொள்ளும்,TAKE
பொருள்,WEALTH
இலர்,NOT_HAVE
ஆயினும்,EVEN_IF
வம்பலர்,STRANGERS
துள்ளுநர்க்,LEAPING_ONES
காண்மார்,TO_SEE
தொடர்ந்து,FOLLOW
உயிர,LIFE
வௌவலின்,SEIZE
புள்ளும்,BIRD
வழங்காப்,NOT_MOVE
புலம்பு,SOLITUDE
கொள்,POSSESS
ஆர்,DIFFICULT
இடை,PLACE
வெள்ளை,WHITE
வேல்,SPEAR
வலத்திர்,STRONG_ONES
பொருள்,WEALTH
தரல்,BRING
வேட்கையின்,DESIRE
உள்ளினிர்,THINK
என்பது,THAT
அறிந்தனள்,KNEW_SHE
என்,MY
தோழி,FRIEND
காழ்,STRENGTH
விரி,SPREAD
கவை,FORKED
ஆரம்,NECKLACE
மீவரும்,COME_UP
இளமுலை,YOUNG_BREAST
போழ்து,TIME
இடைப்படாஅமல்,WITHOUT_INTERRUPTION
முயங்கியும்,EMBRACE
அமையார்,NOT_SATISFIED
என்,MY
தாழ்,LOW
கதுப்பு,HAIR
அணிகுவர்,ADORN
காதலர்,LOVERS
மற்று,FURTHER
அவர்,THEY
சூழ்வதை,PLAN
எவன்,WHAT
கொல்,PERHAPS
அறியேன்,I_DONT_KNOW
என்னும்,SAYS
முள்,THORN
உறழ்,RESEMBLE
முளை,SPROUT
எயிற்று,TOOTH
அமிழ்து,AMBROSIA
ஊறும்,FLOW
தீ,HONEY
நீரை,WATER
கள்ளினும்,THAN_LIQUOR
மகிழ்,JOY
செயும்,DOES
என,SAY
உரைத்தும்,SPEAK
அமையார்,NOT_SATISFIED
என்,MY
ஒள்இழை,BRIGHT_JEWEL
திருத்துவர்,CORRECT
காதலர்,LOVERS
மற்று,FURTHER
அவர்,THEY
உள்ளுவது,THINK
எவன்,WHAT
கொல்,PERHAPS
அறியேん,I_DONT_KNOW
என்னும்,SAYS
நுண்,FINE
எழில்,BEAUTY
மாமை,DARK_BEAUTY
சுணங்கு,FRECKLES
அணி,BEAUTIFUL
ஆகம்,CHEST
தம்,THEIR
கண்ணொடு,EYE
தொடுத்து,STRING
என,LIKE
நோக்கியும்,LOOK
அமையார்,NOT_SATISFIED
என்,MY
ஒண்நுதல்,BRIGHT_FOREHEAD
நீவுவர்,STROKE
காதலர்,LOVERS
மற்று,FURTHER
அவர்,THEY
