Word_Original,Hierarchical_Entity_Tag
வண்டு,INSECT_BEE
கண்ணі,GARLAND_EYELET
கழல்,ANKLET_WAR
உருவ,ATTRIBUTE_BEAUTIFUL
குதிரை,ANIMAL_HORSE
மழவர்,TRIBE_MAZHAVAR
ஓட்டிய,ACTION_DRIVING
முருகன்,DIVINE_MURUGAN
நற்போர்,ATTRIBUTE_GOODWARRIOR
நெடுவேள்,DIVINE_MURUGAN
ஆவி,LIFE_BREATH
அறு,NUMBER_SIX
கோடு,TUSK_ELEPHANT
யானை,ANIMAL_ELEPHANT
பொதினி,PLACE_POTHINI
சிறு,ATTRIBUTE_SMALL
கார்,SEASON_RAIN
ஓடன்,VEHICLE_BOAT
பயின்,ITEM_STRING
சேர்த்திய,ACTION_JOINED
கல்,NATURE_STONE
பிரியல்,ACTION_SEPARATE
சொல்,LANGUAGE_WORD
மறந்தனர்,ACTION_FORGET
தோழி,PERSON_FRIEND
சிறந்த,ATTRIBUTE_EXCELLENT
வேய்,PLANT_BAMBOO
பணைத்தோள்,BODY_PART_SHOULDER
நெகிழ,ACTION_SLIP
சேய்,ATTRIBUTE_DISTANT
நாடு,LAND_COUNTRY
பொலங்கல,GOLD_ORNAMENT
வெறுக்கை,WEALTH_TREASURE
நிலம்,NATURE_EARTH
பக,ACTION_SPLIT
அழல்,NATURE_FIRE
வெங்கதிர,SUN_SUNRAY
பைது,ATTRIBUTE_GREEN
அற,ACTION_CEASE
தெறுதல்,ACTION_SCORCH
நிழல்,NATURE_SHADE
தேய்ந்து,ACTION_DIMINISH
உலறிய,ACTION_WITHER
மரத்த,PLANT_TREE
அறை,PLACE_CAVE
காய்பு,ACTION_DRY
அறுநீர்,WATER_SCARCE
பைஞ்சுனை,WATER_POND
ஆம்,ANIMAL_COW
அற,ACTION_BECOME
புலர்தல்,ACTION_DRY
உகு,ACTION_FALL
நெல்,PLANT_PADDY
பொரியும்,ACTION_PARCH
வெம்மைய,NATURE_HEAT
யாவரும்,PERSON_ALL
வழங்குநர்,PERSON_TRAVELER
இன்மையின்,STATE_ABSENCE
வௌவுநர்,PERSON_TAKER
மடிய,ACTION_LAZY
சுரம்,PLACE_DESERT
புல்லென்ற,STATE_BARREN
ஆற்ற,PLACE_PATH
அலங்கு,ACTION_WAVE
சினை,TREE_BRANCH
நாரில்,STATE_FIBERLESS
முருங்கை,PLANT_MURUNGAI
நவிரல்,FLOWER_BLOSSOM
வான்,SKY_HEAVEN
பூ,FLOWER_BLOOM
சூரல்,BEE_HONEYCOMB
