Word_Original,Hierarchical_Entity_Tag
வரை,MOUNTAIN
மருள்,RESEMBLANCE
புணரி,OCEAN_WAVE
வான்,SKY
பிசிர்,DRIZZLE
உடைய,POSSESSING
வளி,WIND
பாய்ந்து,RUSHING
அட்ட,DRIVEN
துளங்கு,SHAKING
இருங்கமஞ்சூல்,DARK_CLOUD
நளி,THICK
இரும்,DARK
பரப்பின்,EXPANSE
மாக்கடல்,GREAT_OCEAN
முன்னி,PROCEEDING
அணங்கு,FEARSOME
உடை,POSSESSING
அவுணர்,ASURA
ஏமம்,PROTECTION
புணர்க்கும்,CREATING
சூர்,DEMON
உடை,POSSESSING
முழு,ENTIRE
முதல்,BASE
தடிந்த,CUT
பேரிசை,GREAT_FAME
கடுஞ்சின,FIERCE_ANGER
விறல்,VICTORY
வேள்,WARRIOR
களிறு,ELEPHANT
ஊர்ந்தாங்கு,MOUNTED_LIKE
செவ்வாய,RED_MOUTH
எஃகம்,SPEAR
விலங்குநர்,OPPOSERS
அறுப்ப,CUTTING
அரு,RARE
நிறம்,COLOR
திறந்த,OPENED
புண்,WOUND
உமிழ்,EJECTING
குருதி,BLOOD
யின்,FROM
மணி,GEM
நிற,COLORED
இருங்கழி,DARK_BACKWATER
நீர்,WATER
நிறம்,COLOR
பெயர்ந்து,CHANGED
மனாலக்,MUNALLAK
கலவை,MIXTURE
போல,LIKE
அரண்,FORTRESS
கொன்று,DESTROYING
முரண்,OPPOSITION
மிகு,GREAT
சிறப்பின்,GLORY
உயர்ந்த,ELEVATED
ஊக்கலை,ASPIRATION
பலர்,MANY
மொசிந்து,CROWDING
ஓம்பிய,GUARDED
திரள்,CLUSTER
பூங்கடம்ப,FLOWERING_KADAMBU
கடி,GUARDED
உடை,POSSESSING
முழு,ENTIRE
முதல்,BASE
துமிய,BROKEN
ஏஎய்,SHOT
வென்று,VICTORIOUS
எறி,STRIKING
முழங்கு,RESOUNDING
பணை,DRUM
செய்த,MADE
வெல்,VICTORIOUS
போர்,WAR
நார்,FIBER
அரி,PLUCKING
நறவின்,HONEY_WINE
ஆர,GARLANDED
மார்பின்,CHEST
போர்,WAR
அடு,FIGHTING
தானை,ARMY
சேரலாத,SERAL_AD
மார்பு,CHEST
மலி,FILLED
பைந்தார்,GREEN_GARLAND
ஓடையொடு,CLOTH
விளங்கும்,SHINING
வலன்,RIGHT
உயர்,ELEVATED
மருப்பின்,TUSK
பழி,BLAME
தீர்,PURE
யானை,ELEPHANT
பொலன்,GOLD
அணி,ADORNED
எருத்த,NECK
மேல்கொண்டு,MOUNTED
பொலிந்த,SHINING
