Word,Entity,Explanation
poem9,,
இரு,O,adjective meaning great/vast
நிலம்,PLACE,land/earth
துளங்காமை,O,negative verbal noun meaning with stability/not moving
வட,NORTH,north
வயின்,O,postposition meaning side/direction
நிவந்து,O,verb meaning rising/being high
ஓங்கி,O,verb meaning being tall
அரு,O,adjective meaning difficult/rare
நிலை,O,noun meaning state/condition
உயர்,O,adjective meaning high/lofty
தெய்வத்து,DEITY,of the god/deity
அணங்கு,DEITY,fierce deity
சால்,O,adjective meaning abundant/full
தலை,PERSON,leader/chief (Indiran)
காக்கும்,O,verb meaning protecting
உருமுச்,NATURE,with thunder
சூழ்,O,adjective meaning surrounded
சேண்,O,adjective meaning lofty/distant
சிமை,MOUNTAIN,mountain peak
உயர்ந்தவர்,PERSON,superior people/gods
உடம்பட,O,verb meaning accepting/agreeing
எரி,NATURE,fire/flame
மலர்த்,FLOWER,flower (lotus)
தாமரை,FLOWER,lotus
இறை,DEITY,god (Brahman)
வீழ்த்த,O,past participle meaning brought down/caused to fall
பெரு,O,adjective meaning great/large
வாரி,WATERBODY,river/stream (Gangai)
விரி,O,adjective meaning spread/matted
சடைப்,PERSON,matted hair (of Sivan)
பொறை,O,noun meaning burden
ஊழ்த்து,O,verb meaning maturing/falling
விழு,O,adjective meaning great/bright
நிகர்,O,noun meaning resemblance/like
மலர்,FLOWER,flower
ஏய்ப்ப,O,verb meaning like resembling
தணிவுற,O,verb meaning to slow down/to calm
த்தாங்கிய,O,past participle meaning bearing/supporting
தனி,O,adjective meaning unique/alone
நிலைச்,O,noun meaning state/condition
சலதாரி,PERSON,one who bears the water (Sivan)
மணி,OBJECT,sapphire/gem
மிடற்று,PERSON,with neck
அண்ணற்கு,PERSON,to the noble lord (Sivan)
மதி,STAR,Karthikai women
ஆரல்,PERSON,respected women
பிறந்தோய்,PERSON,O lord who was born
நீ,PERSON,you
மை,OBJECT,kohl
இரு,O,adjective meaning two/dark
நூற்று,O,noun meaning finely powdered
இமை,PERSON,eyelid
உண்கண்,PERSON,kohl-rimmed eyes
மான்,ANIMAL,deer
மறி,ANIMAL,young one/fawn (Valli)
தோள்,PERSON,shoulders/arms
மணந்த,O,past participle meaning united with/embraced
ஞான்று,O,noun meaning on the day
ஐ,O,numeral meaning five
இருநூற்று,O,numeral meaning two hundred/thousand (eyes)
மெய்ந்,PERSON,body
நயனத்தவன்,PERSON,one with eyes (Indiran)
மகள்,PERSON,daughter (Thevasenai)
மலர்,FLOWER,flower-like
உண்கண்,PERSON,kohl-rimmed eyes
மணி,OBJECT,sapphire/gem
மழை,NATURE,rain/cloud
தலைஇ,O,verb meaning causing (with expletive)
என,O,quotative particle meaning thus
மா,O,adjective meaning great/intense
வேனில்,NATURE,summer
கார்,NATURE,rain cloud
ஏற்று,O,verb meaning like/resembling
தணி,O,adjective meaning cool
மழை,NATURE,rain/cloud
தலையின்று,O,verb meaning came down/poured
தண்,O,adjective meaning cool
பரங்குன்று,MOUNTAIN,Thirupparankundram
நான்மறை,O,noun meaning four Vedas
விரித்து,O,verb meaning spreading/explaining
நல்,O,adjective meaning good/fine
இசை,O,noun meaning music/fame
விளக்கும்,O,verb meaning revealing/explaining
வாய்மொழிப்,O,adjective meaning truthful/Vedic
புலவீர்,PERSON,O scholars/poets
கேண்மின்,O,verb meaning listen (plural imperative)
சிறந்தது,O,adjective meaning the best/truth
காதற்,O,noun meaning love
காமம்,O,noun meaning love/desire
காமத்துச்,O,noun meaning among loves/desires
சிறந்தது,O,adjective meaning the best
விருப்போர்,PERSON,lovers/those who desire
ஒத்து,O,verb meaning uniting/agreeing
மெய்யுறு,O,verb meaning physical/occurring
புணர்ச்சி,O,noun meaning union
புலத்தலின்,O,noun meaning than sulking
சிறந்தது,O,adjective meaning better/greater
கற்பே,O,noun with expletive meaning virtue/chastity
அது,O,pronoun meaning that
தான்,O,pronoun meaning itself
இரத்தலும்,O,verbal noun meaning pleading
ஈதலும்,O,verbal noun meaning giving in
இவை,O,pronoun meaning these
உள்ளீடாப்,O,negative adjectival meaning not having/inside
பரத்தை,PERSON,concubine
உள்ளதுவே,O,verb with expletive meaning it is because of
பண்புறு,O,adjective meaning good/firm
கழறல்,O,noun meaning news/words
தோள்,PERSON,arms/shoulders
புதிது,O,adverb meaning newly
உண்ட,O,past participle meaning enjoyed/had
பரத்தை,PERSON,concubine
இல்,PLACE,in the house
சிவப்புற,O,verb meaning to be red/to wear red
நாள்,NATURE,day/morning
அணிந்து,O,verb meaning wearing/adoming
உவக்கும்,O,verb meaning enjoying/sexual union
சுணங்கறையதுவே,O,noun with expletive meaning sexual union (sunankarai)
கேள்,PERSON,friends/relatives
அணங்குற,O,verb meaning to be distressed
மனை,PLACE,in the house
க்கிளந்து,O,verb meaning slandering/speaking
உள,O,verb meaning are/exist
சுணங்கறை,O,noun meaning sexual union (sunankarai)
சுணங்கறைப்,O,noun meaning of sexual union
பயனும்,O,noun meaning benefit
ஊடலுள்ளதுவே,O,noun with expletive meaning sulking gives the benefit
அதனால்,O,conjunction meaning therefore/so
அகறல்,O,verbal noun meaning leaving
அறியா,O,negative adjective meaning not knowing
அணியிழை,PERSON,woman with pretty jewels
நல்லார்,PERSON,fine women
இகல்,O,noun meaning anger/enmity
தலைக்கொண்டு,O,verb meaning taking up/having
துனிக்கும்,O,verb meaning being angry
தவறு,O,noun meaning mistake/fault
இலர்,O,negative verb meaning they do not have
இத்,O,pronoun meaning this
தள்ளாப்,O,negative adjective meaning not reduced/not rejected
பொருள்,O,noun meaning meaning/convention
இயல்பின்,O,noun meaning with the nature
தண்,O,adjective meaning cool
தமிழ்,O,adjective meaning Tamil
ஆய்,O,verb meaning analyzing
வந்திலார்,PERSON,those who have not analyzed
கொள்ளார்,O,negative verb meaning they do not accept
இக்குன்று,MOUNTAIN,this mountain (kurinji conventions)
பயன்,O,noun meaning benefit/meaning
ஊழ்,O,noun meaning procedural/regular
ஆரத்து,PLANT,of the sandal trees
தேய்,O,verb meaning eroding
கரை,STRUCTURE,shore/bank
நூக்கி,O,verb meaning pushing down
புனல்,WATERBODY,flood/water
தந்த,O,past participle meaning brought
காழ்,O,adjective meaning hard-core/mature
ஆரத்து,PLANT,sandal tree
அம்,O,adjective meaning beautiful
புகை,O,noun meaning smoke
சுற்றிய,O,past participle meaning surrounded
தார்,OBJECT,garland
மார்பின்,PERSON,with chest
கேழ்,OBJECT,bright pearl strand
ஆரம்,OBJECT,pearl strand
பொற்ப,O,adverb meaning making beautiful
வருவானை,PERSON,to Murukan who came
தொழாஅ,O,adverbial participle meaning worshipping (with expletive)
வாழிய,O,verb meaning long live
மாயா,PERSON,O lord of deception
நின்,O,pronoun meaning your
தவறு,O,noun meaning fault
இலை,O,negative verb meaning there is not
