Word,Entity,Explanation
poem21,,
ஊர்ந்ததை,ANIMAL,the one ridden (elephant Pinimukam)
எரி,NATURE,fire/flame
புரை,O,comparative particle meaning like
ஓடை,OBJECT,forehead ornament
இடை,O,postposition meaning in/among
இமைக்கும்,O,verb meaning glittering/shining
சென்னி,ANIMAL,head (of elephant)
பொரு,O,verb meaning fighting
சமம்,NATURE,battle/war
கடந்த,O,past participle meaning conquered/won
புகழ்,O,noun meaning fame
சால்,O,adjective meaning abundant/full
வேழம்,ANIMAL,elephant
தொட்டதை,CLOTHING,what is worn on feet (sandals)
தைப்பு,O,noun meaning sewing/stitching
அமை,O,adjective meaning suitable/fit
சருமத்தின்,OBJECT,leather/hide
தாள்,PERSON,foot
இயை,O,verb meaning resembling
தாமரை,FLOWER,lotus
துப்பு,O,adjective meaning red/coral-colored
அமை,O,adjective meaning beautiful/fitting
துவர்,O,noun meaning fragrant water/lotion
நீர்த்,WATERBODY,water
துறை,WATERBODY,shore
மறைய,O,verb meaning to submerge/to hide
அழுத்திய,O,past participle meaning pressed/soaked
வெரிநத்,ANIMAL,back (of animal)
தோலொடு,OBJECT,with skin/hide
முழு,O,adjective meaning full/entire
மயிர்,ANIMAL,hair/fur
மிடைந்த,O,past participle meaning dense/thick
வரி,O,adjective meaning striped
மலி,O,adjective meaning abundant
அர,ANIMAL,snake
உரி,OBJECT,skin/shed skin
வள்பு,OBJECT,strap
கண்டன்ன,O,adjective meaning like resembling
புரி,O,adjective meaning desirable/beautiful
மென்,O,adjective meaning soft/delicate
பீலிப்,BIRD,peacock feather
போழ்,O,adjective meaning split/cut
புனை,O,past participle meaning made/adorned
அடையல்,CLOTHING,slippers/sandals
கையதை,WEAPON,in the hand (the spear)
கொள்ளாத்,O,negative adjective meaning not agreeing/disagreeing
தெவ்வர்,PERSON,enemies
கொள்,O,verb meaning having/taking
மாமுதல்,PLANT,mango tree trunk
தடிந்து,O,verb meaning chopping
புள்ளொடு,BIRD,with the bird (Kraunja mountain)
பெயரிய,O,past participle meaning named/called
பொருப்புப்,MOUNTAIN,mountain
புடை,O,adverb meaning side
திறந்த,O,past participle meaning broke open
வேல்,WEAPON,spear
பூண்டதை,OBJECT,what is worn (garland)
சுருளுடை,O,adjective meaning curly/having curls
வள்ளி,PLANT,valli creeper/plant
இடை,O,postposition meaning in between
இடுபு,O,verb meaning placing
இழைத்த,O,past participle meaning woven/made
உருள்,O,adjective meaning wheel-shaped
இணர்க்,FLOWER,cluster
கடம்பின்,PLANT,kadampam tree/flower
ஒன்றுபடு,O,verb meaning woven together
கமழ்,O,adjective meaning fragrant
தார்,OBJECT,garland
அமர்ந்ததை,PLACE,where seated (Thirupparankundram)
புரையோர்,PERSON,wise ones/sages
நாவில்,PERSON,on the tongues
புகழ்,O,noun meaning fame
நலம்,O,noun meaning goodness/beauty
முற்றி,O,verb meaning complete/having
நிரை,O,noun meaning row/order
ஏழ்,O,numeral meaning seven
அடுக்கிய,O,past participle meaning stacked/arranged
நீள்,O,adjective meaning long
இலைப்,PLANT,leaf (of palai tree)
பாலை,PLANT,palai tree (Mimusops kauki)
அரை,MOUNTAIN,waist/mid-mountain
வரை,MOUNTAIN,mountain
மேகலை,OBJECT,waist ornament
அளி,WATERBODY,waterfall
நீர்ச்,WATERBODY,water
சூழி,OBJECT,elephant's face ornament
தரை,PLACE,land/earth
விசும்பு,NATURE,sky
உகந்த,O,past participle meaning desired/loved
தண்,O,adjective meaning cool
பரங்குன்றம்,MOUNTAIN,Thirupparankundram
குன்றத்து,MOUNTAIN,of the mountain
அடியுறை,PERSON,divine feet
இயைக,O,verb meaning may it happen
என,O,quotative particle meaning thus
ப்பரவுதும்,O,verb meaning we worship/pray
வென்றிக்,O,noun meaning victory
கொடி,OBJECT,flag
அணி,O,adjective meaning beautiful
செல்வ,PERSON,O lord
நிற்,O,pronoun meaning you (accusative)
தொழுது,O,verb meaning worshipping
சுடுபொன்,O,noun meaning melted/heated gold
ஞெகிழத்து,OBJECT,anklet
முத்து,OBJECT,pearl
அரி,O,noun meaning string/thread
சென்று,O,verb meaning going
ஆர்ப்ப,O,verb meaning sounding/jingling
துடியின்,OBJECT,of the thudi drum
அடி,PERSON,foot
பெயர்த்து,O,verb meaning moving/changing
தோள்,PERSON,arms/shoulders
அசைத்து,O,verb meaning swaying
தூக்கி,O,verb meaning lifting
அடுநறா,FOOD,cooked/prepared liquor
மகிழ்,O,noun meaning happiness
தட்ப,O,verb meaning blocking
ஆடுவாள்,PERSON,dancer
தகைமையின்,O,noun meaning because of beauty
நுனை,WEAPON,tip/point
இலங்கு,O,adjective meaning bright/shining
எஃகென,WEAPON,like a spear
சிவந்த,O,past participle meaning red
நோக்கமொடு,PERSON,with looks
துணை,O,adjective meaning paired/together
அணை,O,verb meaning embracing
கேள்வனை,PERSON,husband
துனிப்பவள்,PERSON,angry woman/wife
நிலையும்,O,noun meaning situation/state
நிழல்,O,noun meaning reflection
காண்,O,verb meaning seeing
மண்டிலம்,OBJECT,mirror
நோக்கி,O,verb meaning looking
அழல்,NATURE,fire/flame
புனை,O,adjective meaning adorned/beautiful
அவிர்,O,adjective meaning bright/shining
இழை,OBJECT,jewels
திருத்துவாள்,PERSON,woman who fixes/adjusts
குறிப்பும்,O,noun meaning sign/indication
பொதிர்த்த,O,adjective meaning large/swollen
முலையிடை,PERSON,on the breasts
ப்பூசி,O,verb meaning rubbing/applying
சந்தனம்,OBJECT,sandal paste
உதிர்த்து,O,verb meaning shaking off/dropping
பின்,O,adverb meaning again
உற,O,adverb meaning well/properly
ஊட்டுவாள்,PERSON,woman who applies
விருப்பும்,O,noun meaning desire
பல்,O,adjective meaning many
ஊழ்,O,adverb meaning times/occasions
இவை,O,pronoun meaning these
இவை,O,pronoun meaning these
நினைப்பின்,O,conditional verb meaning if thinking
வல்லோன்,PERSON,skilled artist
ஓவத்து,O,noun meaning in the painting
எழுது,O,past participle meaning drawn/painted
எழில்,O,noun meaning beauty
போலும்,O,verb meaning like resembling
மா,PLANT,mango tree
தடிந்,O,past participle meaning chopped
திட்டோய்,PERSON,O lord who killed (Sooran)
நின்,O,pronoun meaning your
குன்றின்,MOUNTAIN,on the mountain
மிசை,O,postposition meaning on/upon
மிசைபடு,O,adjective meaning raised above
சாந்தாற்றி,OBJECT,fans for drying sandal paste
போல,O,comparative particle meaning like
எழிலி,NATURE,cloud
இசைபடு,O,adjective meaning roaring/sounding
பக்கம்,O,adverb meaning on the side
இரு,O,adjective meaning two
பாலும்,O,adverb meaning on both sides
கோலி,O,verb meaning spreading/bending
விடு,O,adjective meaning sparkling/bright
பொறி,O,noun meaning spot/mark
மஞ்ஞை,BIRD,peacock
பெயர்பு,O,verb meaning rising
உடன்,O,adverb meaning together
ஆட,O,verb meaning to dance
விரல்,PERSON,finger
செறி,O,adjective meaning placed tightly
தூம்பின்,OBJECT,of the thoompu (musical instrument)
விடு,O,adjective meaning released/open
துளைக்கு,OBJECT,to the hole
ஏற்ப,O,adverb meaning according to
முரல்,O,adjective meaning humming/buzzing
குரல்,O,noun meaning sound
தும்பி,INSECT,thumpi bee
அவிழ்,O,adjective meaning open
மலர்,FLOWER,flower
ஊத,O,verb meaning to buzz
யாணர்,INSECT,honey bees
வண்டினம்,INSECT,swarm of bees
யாழ்,OBJECT,yāzh
இசை,O,noun meaning music
பிறக்க,O,verb meaning to arise/to be born
பாணி,O,noun meaning beat/rhythm
முழவு,OBJECT,drum
இசை,O,noun meaning music/sound
அருவி,WATERBALL,waterfall
நீர்,WATERBODY,water
ததும்ப,O,verb meaning to roar/to overflow
ஒருங்கு,O,adverb meaning together
பரந்தவை,O,past participle meaning spread
எல்லாம்,O,pronoun meaning everything/all
ஒலிக்கும்,O,verb meaning sound/resound
இரங்கு,O,adjective meaning roaring/victorious
முரசினான்,PERSON,one with drums (Murukan)
குன்று,MOUNTAIN,mountain
தாழ்,O,adjective meaning low/deep
நீர்,WATERBODY,water
இமிழ்,O,adjective meaning roaring/sounding
சுனை,WATERBODY,pool/spring
நாப்பண்,O,postposition meaning in the middle
குளித்து,O,verb meaning bathing
அவண்,O,adverb meaning there
மீ,O,adverb meaning above
நீர்,WATERBODY,water
நிவந்த,O,past participle meaning risen
விறலிழை,PERSON,woman with lovely jewels
கேள்வனை,PERSON,husband
வேய்,PLANT,bamboo
நீர்,WATERBODY,water (raft)
அழுந்து,O,verb meaning sinking
தன்,O,pronoun meaning her own
கையின்,PERSON,with hand
விடுக,O,verb meaning to give/release
என,O,quotative particle meaning thus
பூ,FLOWER,flower
நீர்,WATERBODY,water
பெய்,O,verb meaning pouring
வட்டம்,OBJECT,round bowl
எறிய,O,verb meaning to throw
புணை,OBJECT,raft
பெறாது,O,negative verb meaning not getting
அரு,O,adjective meaning difficult
நிலை,O,noun meaning state/condition
நீரின்,WATERBODY,in the water
அவள்,PERSON,her
துயர்,O,noun meaning sorrow/pain
கண்டு,O,verb meaning seeing
கொழுநன்,PERSON,husband
மகிழ்,O,noun meaning happiness
தூங்கி,O,verb meaning being happy
கொய்பூம்,FLOWER,flowers ready for picking
புனல்,WATERBODY,water/pool
வீழ்ந்து,O,verb meaning falling/jumping
தழுவும்,O,verb meaning embracing
தகை,O,noun meaning nature
வகைத்து,O,predicate meaning is of that nature
தண்,O,adjective meaning cool
பரங்குன்று,MOUNTAIN,Thirupparankundram
வண்,O,adjective meaning thick/abundant
தார்,OBJECT,garland
பிறங்கல்,MOUNTAIN,mountain (chest)
மைந்தர்,PERSON,young men
நீவிய,O,past participle meaning rubbed
தண்,O,adjective meaning cool
கமழ்,O,adjective meaning fragrant
சாந்தம்,OBJECT,sandal paste
தைஇய,O,past participle meaning touched/impregnated (with expletive)
வளியும்,NATURE,breeze/wind
கயல்,FISH,carp
புரை,O,comparative particle meaning like
கண்ணியர்,PERSON,women with eyes
கமழ்,O,adjective meaning fragrant
துகள்,O,noun meaning powder
உதிர்த்த,O,past participle meaning dropped/dispersed
புயல்,NATURE,cloud
புரை,O,comparative particle meaning like
கதுப்பு,PERSON,hair
அகம்,O,postposition meaning inside/through
உளரிய,O,past participle meaning passed through
வளியும்,NATURE,breeze/wind
உருள்,O,adjective meaning wheel-shaped
இணர்க்,FLOWER,cluster
கடம்பின்,PLANT,kadampam tree
நெடுவேட்கு,PERSON,to Murukan (the distant desired one)
எடுத்த,O,past participle meaning raised/offered
முருகு,O,adjective meaning beautiful/fragrant
கமழ்,O,adjective meaning fragrant
புகை,O,noun meaning smoke
நுழைந்த,O,past participle meaning entered
வளியும்,NATURE,breeze/wind
அசும்பும்,WATERBALL,flowing waterfalls
அருவி,WATERBALL,waterfall
அரு,O,adjective meaning difficult/rare
விடர்ப்,MOUNTAIN,cave/cleft
பரந்த,O,past participle meaning spread
பசும்,O,adjective meaning fresh/green/golden
பூண்,OBJECT,jewels/ornaments
சேஎய்,PERSON,O Murukan (with expletive)
நின்,O,pronoun meaning your
குன்றம்,MOUNTAIN,mountain
நன்கு,O,adverb meaning well/properly
உடைத்து,O,verb meaning has/possesses
கண்,PERSON,eye
ஒளிர்,O,verb meaning shining
திகழ்,O,verb meaning bright
அடர்,O,noun meaning gold sheet/thin plate
இடு,O,adjective meaning placed/set
சுடர்,NATURE,light/gleam
படர்,O,adjective meaning spread
கொடி,NATURE,streak (of lightning)
மின்னுப்,NATURE,like lightning
போல்,O,comparative particle meaning like
ஒண்,O,adjective meaning bright
நகை,O,noun meaning smile/jewel
தகை,O,noun meaning nature/splendor
வகை,O,noun meaning kind/manner
நெறி,O,noun meaning way/method
பெற,O,verb meaning to obtain/perfectly
இடை,O,postposition meaning in between
இடை,O,postposition meaning in between
இழைத்து,O,verb meaning making/fashioning
யாத்த,O,past participle meaning tying/stringing
செண்ணிகைக்,PERSON,hair knot
கோதை,OBJECT,flower strand
கதுப்போடு,PERSON,with hair
இயல,O,verb meaning to dance/to move
மணி,OBJECT,sapphire/gem
மருள்,O,comparative particle meaning like
தேன்,FOOD,liquor/honey
மகிழ்,O,noun meaning happiness
தட்ப,O,verb meaning blocking/hindering
ஒல்கி,O,verb meaning swaying
பிணி,O,noun meaning tie/bond
நெகிழ,O,verb meaning to loosen
ப்பைந்துகில்,CLOTHING,new clothes/silk garment
நோக்கம்,PERSON,eyes/look
சிவப்பு,O,noun meaning redness
ஊர,O,verb meaning to spread
பூங்கொடி,PLANT,flowering vine
போல,O,comparative particle meaning like
நுடங்குவாள்,PERSON,she who sways/dances
ஆங்கு,O,adverb meaning there
த்,O,link consonant
தன்,O,pronoun meaning her/his
சீர்தகு,O,adjective meaning matching in beauty
கேள்வன்,PERSON,husband
உருட்டும்,O,verb meaning beating/sounding
துடிச்,OBJECT,thudi drum
சீரான்,O,noun meaning with rhythm/beat
கோடு,PERSON,breasts
அணிந்த,O,past participle meaning adorned/wearing
முத்து,OBJECT,pearl
ஆரம்,OBJECT,necklace/garland
ஒல்க,O,verb meaning to sway
ஒசிபவள்,PERSON,dancer who sways
ஏர்,O,noun meaning beauty
ஆடை,CLOTHING,cloth/garment
அசைய,O,verb meaning to move
அணி,OBJECT,jewels/ornaments
அசைய,O,verb meaning to move
தான்,PERSON,she herself
அசையும்,O,verb meaning moving/swaying
வாடை,NATURE,cold wind
உளர்,O,verb meaning blowing
கொம்பர்,PLANT,tree branches
போன்ம்,O,verb meaning like resembling (with expletive)
வாளி,WEAPON,arrow
புரள்பவை,O,verb meaning moving
போலும்,O,verb meaning like resembling
துடிச்,OBJECT,thudi drum
சீர்க்கு,O,noun meaning to the rhythm
த்தோள்,PERSON,arms
ஊழ்,O,adverb meaning in a traditional manner
பெயர்ப்பவள்,PERSON,she who moves/dances
கண்,PERSON,eye
poem22,,
ஒளிறு,O,adjective meaning shining/bright
வாட்,WEAPON,sword
பொருப்பன்,PERSON,king (Pandiyan)
உடல்,O,noun meaning body
சமத்து,NATURE,in the battle
இறுத்த,O,past participle meaning placed/received
களிறு,ANIMAL,elephant
