Word,Entity,Explanation
poem2,,
தொல்,O,adjective meaning ancient/old
முறை,O,noun meaning order/tradition/method
இயற்கையின்,NATURE,by nature/by natural order
மதிய,NATURE,moon
பசும்,O,adjective meaning green/fresh/golden
பொன்னுலகமும்,PLACE,golden celestial world/upper world
மண்ணும்,PLACE,earth/world
பாழ்பட,O,verb meaning ruined/destroyed
விசும்பில்,NATURE,in the sky
ஊழி,O,noun meaning eon/age/long period
ஊழ்,O,verb meaning going/following
ஊழ்,O,verb meaning going/following
செல்ல,O,verb meaning to go/to proceed
கரு,O,adjective meaning seed/embryo/primal
வளர்,O,verb meaning growing/increasing
வானத்து,NATURE,in the sky
இசையின்,O,noun meaning with sound
தோன்றி,O,verb meaning appearing/arising
உரு,O,noun meaning form/shape
அறிவாரா,O,negative adjective meaning not known/not perceived
ஒன்றன்,O,noun meaning one's/of the one
ஊழியும்,O,noun meaning eon/age
உந்து,O,verb meaning moving/pushing
வளி,NATURE,wind/air
கிளர்ந்த,O,past participle meaning risen/arisen
ஊழ்,O,noun meaning eon/age
ஊழ்,O,noun meaning eon/age
ஊழியும்,O,noun meaning eon/age
செந்தீ,NATURE,red fire
ச்சுடரிய,O,adjective meaning flaming/blazing
ஊழியும்,O,noun meaning eon/age
பனியொடு,NATURE,with cold/frost
தண்,O,adjective meaning cool
பெயல்,NATURE,rain
தலைஇய,O,past participle meaning caused/brought about
ஊழியும்,O,noun meaning eon/age
அவையிற்று,O,pronoun meaning those/along with them
உள்,O,postposition meaning inside/within
முறை,O,noun meaning order/method
வெள்ளம்,WATERBODY,flood/deluge
மூழ்கி,O,verb meaning submerged/drowned
ஆர்தருபு,O,verb meaning staying/being
மீண்டும்,O,adverb meaning again
பீடு,O,noun meaning greatness/loftiness
உயர்பு,O,verb meaning rising/being high
ஈண்டி,O,verb meaning gathering/assembling
அவற்றிற்கும்,O,pronoun meaning to them/for them
உள்ளீடு,O,noun meaning being inside/included
ஆகிய,O,past participle meaning becoming/being
இரு,O,adjective meaning great/large
நிலத்து,PLACE,of the earth/land
ஊழியும்,O,noun meaning eon/age
நெய்தலும்,FLOWER,neytal flower/blue water lily
குவளையும்,FLOWER,kuvalai flower/water lily
ஆம்பலும்,FLOWER,āmpal flower/white water lily
சங்கமும்,OBJECT,conch shell
மை,O,noun meaning darkness/fault
இல்,O,negative particle meaning without/faultless
கமலமும்,FLOWER,lotus flower
வெள்ளமும்,WATERBODY,flood/ocean
நுதலிய,O,past participle meaning denoted/specified
செய்,O,past participle meaning made/done
குறி,O,noun meaning sign/mark
ஈட்டம்,O,noun meaning collection/gathering
கழிப்பிய,O,past participle meaning passed/spent
வழிமுறை,O,noun meaning lineage/tradition/way
கேழல்,ANIMAL,boar
திகழ்வர,O,verb meaning appearing/shining
க்கோலமொடு,O,noun meaning with form/appearance
பெயரிய,O,past participle meaning named/called
ஊழி,O,noun meaning eon/age
ஒரு,O,adjective meaning one
வினை,O,noun meaning deed/action
உணர்த்தலின்,O,verbal noun meaning since revealing/exhibiting
முதுமைக்கு,O,noun meaning for ancientness/old age
ஊழி,O,noun meaning eon/age
யாவரும்,O,pronoun meaning everyone/all
உணரா,O,negative verb meaning do not know/understand
ஆழி,WEAPON,discus
முதல்வ,PERSON,O primal lord/first lord
நிற்,O,pronoun meaning you (accusative)
பேணுதும்,O,verb meaning we adore/cherish
தொழுதும்,O,verb meaning we worship
நீயே,PERSON,you yourself
வளையொடு,OBJECT,with conch shell
புரையும்,O,verb meaning resembling/like
வாலியோற்கு,PERSON,to Baladevan who is white/pure
அவன்,O,pronoun meaning he/his
இளையன்,PERSON,younger brother
என்போர்க்கு,PERSON,to those who say
இளையை,PERSON,you are the younger one
ஆதலும்,O,conjunction meaning even if/although
புதையிருள்,O,adjective meaning dense/concealing darkness
உடுக்கை,CLOTHING,garment/clothing
ப்பொலம்,O,noun meaning gold
பனைக்கொடியோற்கு,PERSON,to Baladevan with gold palmyra flag
முதியை,PERSON,you are older
என்போர்க்கு,PERSON,to those who say
முதுமை,O,noun meaning old age/elderliness
தோன்றலும்,O,verbal noun meaning appearing/seeming
வடு,O,noun meaning scar/fault/blemish
இல்,O,negative particle meaning without/faultless
கொள்கையின்,O,noun meaning with principles/beliefs
உயர்ந்தோர்,PERSON,higher beings/sages
ஆய்ந்த,O,past participle meaning analyzed/examined
கெடு,O,verb meaning perishing/ending
இல்,O,negative particle meaning without/imperishable
கேள்வியுள்,O,noun meaning in the Vedas/learning
நடு,O,noun meaning center/core/essence
ஆகுதலும்,O,verbal noun meaning being/becoming
இந்நிலை,O,noun meaning this state/situation
த்தெரிபொருள்,O,noun meaning analyzable thing/life/soul
தேரின்,O,conditional verb meaning if analyzing/examining
இந்நிலை,O,noun meaning this state/situation
நின்,O,pronoun meaning your
நிலைத்,O,noun meaning in the state/condition
தோன்றும்,O,verb meaning appears/is seen
நின்,O,pronoun meaning your
தொல்,O,adjective meaning ancient/old
நிலைச்,O,noun meaning state/condition
சிறப்பே,O,noun with expletive meaning greatness/splendor
ஓங்கு,O,verb meaning rising/being high
உயர்,O,adjective meaning high/tall
வானின்,NATURE,in the sky
வாங்கு,O,adjective meaning curved/bent
வில்,NATURE,rainbow/bow
புரையும்,O,verb meaning resembling/like
பூண்,OBJECT,jewel/ornament
அணி,O,noun meaning decoration/beauty
கவைஇய,O,past participle meaning placed/inserted
வார்,O,adjective meaning long
அணி,O,noun meaning decoration/beauty
நித்தில,OBJECT,pearls
நித்தில,OBJECT,pearls
மதாணி,OBJECT,ornament/jewelry
அத்தகு,O,adjective meaning such/like that
மதி,NATURE,moon
மறு,O,noun meaning mark/blemish
ச்செய்யோள்,DEITY,red goddess (Lakshmi/Thirumakal)
சேர்ந்த,PERSON,seated/joined
நின்,O,pronoun meaning your
மாசு,O,noun meaning dirt/blemish
இல்,O,negative particle meaning without/faultless
அகலம்,PERSON,chest
வளர்,O,adjective meaning growing/rising
திரை,WATERBODY,wave
மண்ணிய,O,past participle meaning washed/cleaned
கிளர்,O,adjective meaning bright/shining
பொறி,O,noun meaning spot/mark
நாப்பண்,O,postposition meaning in the middle/amidst
வை,O,adjective meaning sharp
வால்,O,adjective meaning white
மருப்பின்,ANIMAL,with tusks
களிறு,ANIMAL,boar
மணன்,O,noun meaning marriage/wedding (விகாரம் of மணம்)
அயர்பு,O,verb meaning performing/doing
புள்ளி,O,adjective meaning dotted/small as a dot
நிலனும்,PLACE,land/earth
புரைபடல்,O,verbal noun meaning suffering/damage
அரிது,O,predicate meaning difficult/rare/impossible
என,O,quotative particle meaning thus
உள்ளுநர்,PERSON,learned ones/those who think
உரைப்போர்,PERSON,those who say/speak
உரையொடு,O,noun meaning with words/speech
சிறந்தன்று,O,verb meaning does not fit/is not apt
ஒடியா,O,negative adjective meaning unbroken/not breaking
உள்ளமொடு,O,noun meaning with mind/heart
உருத்து,O,verb meaning becoming angry
ஒருங்கு,O,adverb meaning together
உடன்,O,adverb meaning together
இயைந்து,O,verb meaning joining/uniting
இடி,NATURE,thunder
எதிர்,O,comparative particle meaning like/as
கழறும்,O,verb meaning speaking/roaring angrily
கால்,NATURE,wind/air
உறழ்பு,O,comparative particle meaning like/resembling
எழுந்தவர்,PERSON,those who rose up
கொடி,OBJECT,flag
அறுபு,O,verb meaning cutting
இறுபு,O,verb meaning destroying/tearing
செவி,O,noun meaning ear
செவிடு,O,noun meaning deafness
படுபு,O,verb meaning becoming/happening
முடிகள்,O,noun meaning crowns
அதிர,O,verb meaning to shake/to thunder
படி,O,noun meaning position/footing
நிலை,O,noun meaning state/condition
தளர,O,verb meaning to weaken/to falter
நனி,O,adverb meaning greatly/excessively
முரல்,O,adjective meaning sounding/loud
வளை,OBJECT,conch shell
முடி,O,noun meaning crown
அழிபு,O,verb meaning ruining/destroying
இழிபு,O,verb meaning descending/falling
தலை,O,noun meaning head
இறுபு,O,verb meaning destroying/tearing
தாரொடு,OBJECT,with garlands
புரள,O,verb meaning to roll/to fall
நிலை,O,noun meaning state/condition
தொலைபு,O,verb meaning perishing/being destroyed
வேர்,PLANT,root
தூர்,PLANT,root-like growth near base
மடல்,PLANT,frond/palm leaf
குருகு,PLANT,pith of trees
பறியா,O,negative adjective meaning unplucked/not picked
நீள்,O,adjective meaning tall/long
இரும்,O,adjective meaning dark/big
பனை,PLANT,palmyra tree
மிசை,O,postposition meaning on/upon
பல,O,adjective meaning many
பதினாயிரம்,O,numeral meaning ten thousand
குலை,FRUIT,cluster/bunch (of fruits)
தரை,PLACE,ground/land
உதிர்வ,O,verbal noun meaning falling/dropping
போல்,O,comparative particle meaning like/as
நில்லாது,O,negative verb meaning not stopping
ஒருமுறை,O,adverb meaning once/at one time
கொய்பு,O,verb meaning plucking
கூடி,O,verb meaning gathering/joining
ஒருங்கு,O,adverb meaning together
உருண்டு,O,verb meaning rolling
பிளந்து,O,verb meaning splitting/breaking open
நெரிந்து,O,verb meaning crushing/cracking
உருள்பு,O,verb meaning rolling
சிதறுபு,O,verb meaning scattering
அளறு,O,noun meaning mud/blood
சொரிபு,O,verb meaning pouring
நிலம்,PLACE,land/earth
சோர,O,verb meaning to drip/to fall
சேரார்,PERSON,enemies
இன்,O,adjective meaning sweet
உயிர்,O,noun meaning life
செகுக்கும்,O,verb meaning killing/destroying
போர்,NATURE,battle/war
அடு,O,adjective meaning killing/fighting
குரிசில்,PERSON,lord/chief who kills
நீ,PERSON,you
ஏந்திய,O,past participle meaning held/wielded
படையே,WEAPON,weapon/army
ஒன்னார்,PERSON,enemies
உடங்கு,O,adverb meaning together
உண்ணும்,O,verb meaning eating/consuming
கூற்றம்,DEITY,Death/Yama
உடலே,O,noun with expletive meaning body/itself (resembles)
பொன்,O,noun meaning gold
ஏர்பு,O,verb meaning rising up/heating
அவிர்,O,adjective meaning bright/shining
அழல்,NATURE,flame/fire
நுடக்கு,O,verb meaning swaying/moving
அதன்,O,pronoun meaning its
நிறனே,O,noun with expletive meaning color (விகாரம் of நிறம்)
நின்னது,O,pronoun meaning your
திகழ்,O,adjective meaning bright/shining
ஒளி,NATURE,light/radiance
சிறப்பு,O,noun meaning greatness/splendor
இருள்,NATURE,darkness
திருமணி,OBJECT,dark sapphire gems
கண்ணே,PERSON,eyes
புகழ்,O,noun meaning fame/praise
சால்,O,adjective meaning abundant/full
தாமரை,FLOWER,lotus
அலர்,FLOWER,blossom/flower
இணை,O,noun meaning pair/couple
ப்பிணையல்,O,noun meaning tying/strung together
வாய்மை,O,noun meaning truth/honesty
வயங்கிய,O,adjective meaning flourishing/clear
வைகல்,NATURE,day
சிறந்த,O,adjective meaning great/excellent
நோன்மை,O,noun meaning patience/forbearance
நாடின்,O,conditional verb meaning if examining/analyzing
இரு,O,adjective meaning great/large
நிலம்,PLACE,land/earth
யாவர்க்கும்,PERSON,to everybody/to all
சாயல்,O,noun meaning grace/beauty
நினது,O,pronoun meaning your
வான்,NATURE,cloud/sky
நிறை,O,adjective meaning full/complete
என்னும்,O,verb meaning saying/uttering
நா,O,noun meaning tongue
வல்,O,adjective meaning skilled/able
அந்தணர்,PROFESSION,Brahmins
அருமறைப்,O,adjective meaning precious Vedic
பொருளே,O,noun with expletive meaning meaning/essence
அவ்வும்,O,pronoun meaning those things
பிறவும்,O,pronoun meaning other things/others
ஒத்தனை,PERSON,you are like that
உவ்வும்,O,pronoun meaning those things
எவ்,O,interrogative adjective meaning all/every
வயினோயும்,PERSON,you who are in all places/things
நீயே,PERSON,you yourself
செவ்வாய்,BIRD,red-beaked (Garudan)
உவணத்து,BIRD,of Garudan/eagle
உயர்,O,adjective meaning high/tall
கொடியோயே,PERSON,O lord with flag
கேள்வியுள்,O,noun meaning in the Vedas/learning
கிளந்த,O,past participle meaning said/uttered
ஆசான்,PERSON,lord/god/teacher
உரையும்,O,noun meaning words/speech
படி,O,noun meaning step/order
நிலை,O,noun meaning state/condition
வேள்வியுள்,O,noun meaning in the ritual/sacrifice
பற்றி,O,verb meaning seizing/grasping
ஆடு,ANIMAL,goat/cow (sacrificial animal)
கொளலும்,O,verbal noun meaning taking/seizing
புகழ்,O,noun meaning fame/glory
இயைந்து,O,verb meaning joining/uniting
இசை,O,noun meaning music/fame
மறை,O,noun meaning secret/Veda
உறு,O,adjective meaning great/much
கனல்,NATURE,fire/flame
முறை,O,noun meaning order/method
மூட்டி,O,verb meaning kindling/lighting
திகழ்,O,adjective meaning bright/shining
ஒளி,NATURE,light/radiance
ஒண்,O,adjective meaning bright/clear
சுடர்,NATURE,light/flame
வளப்பாடு,O,noun meaning abundance/greatness
கொளலும்,O,verbal noun meaning taking/having
நின்,O,pronoun meaning your
உருபுடன்,O,noun meaning with form/appearance
உண்டி,FOOD,food/offering
பிறர்,PERSON,others/those who don't believe
உடம்படுவாரா,O,verb meaning making agree/making accept
நின்னொடு,O,pronoun meaning with you
புரைய,O,verb meaning to fit/to be equal
அந்தணர்,PROFESSION,Brahmins
காணும்,O,verb meaning see/behold
வரவு,O,noun meaning arrival/manifestation
வாயடை,FOOD,food
அமிர்தம்,FOOD,amirtham/nectar
நின்,O,pronoun meaning your
மனத்தகத்து,O,noun meaning in the mind
அடைத்தர,O,verb meaning to will/to place
