Word,Entity,Explanation
**Poem 1**,,
செங்களம்பட,O,causing the battlefield to be red due to blood
கொன்று,O,verb meaning killed
அவுணர்,MYTH,demons destroyed by Murukan
தேய்த்த,O,verb meaning destroyed
செங்கோல்,WEAPON,thick red arrows
அம்பின்,WEAPON,arrows of Murukan
செங்கோட்டு,ANIMAL,elephant with red tusks
யானைக்,ANIMAL,elephant vehicle of Murukan
கழல்,OBJECT,whirling bracelets worn by Murukan
தொடிச்,OBJECT,bangles worn by Murukan
சேஎய்,DEITY,Murukan the red god
குன்றம்,MOUNTAIN,Murukan's mountain
குருதிப்,NATURE,blood-colored reference
பூவின்,FLOWER,blood-red flowers
குலைக்,PLANT,clusters of glory lilies
காந்தட்டு,FLOWER,Malabar glory lily blossoms
ஏ,O,expletive particle
**Poem 2**,,
கொங்கு,FOOD,honey or pollen collected by bees
தேர்,O,verb meaning choosing
வாழ்க்கை,O,noun meaning life
அஞ்சிறை்,INSECT,bee with beautiful wings
தும்பி,INSECT,bee addressed by the hero
காமம்,O,what you desire
செப்பாது,O,verb meaning not uttering
கண்டது,O,what you saw
மொழிமோ,O,please tell me (with expletive)
பயிலியது,O,verb meaning due to habit
கெழீஇய,O,adverb meaning greatly
நட்பின்,O,with love or friendship
மயில்,BIRD,peacock-like nature
இயல்,O,nature or behavior
செறி,O,adjective meaning perfect or close
எயிற்று,ANIMAL,with perfect teeth
அரிவை,PERSON,young woman
கூந்தலின்,O,like the young woman's hair
நறியவும்,O,adjective meaning with fragrance
உளவோ,O,verb meaning is it there
நீ,O,pronoun meaning you
அறியும்,O,verb meaning you know
பூ,FLOWER,flowers
ஏ,O,expletive particle
**Poem 3**,,
நிலத்தினும்,NATURE,larger than the earth
பெரிது,O,adjective meaning larger
ஏ,O,expletive particle
வானினும்,NATURE,higher than the sky
உயர்ந்தன்று,O,adjective meaning higher
நீரினும்,WATERBODY,harder to fathom than the ocean
ஆர்,O,adjective meaning difficult
அளவின்று,O,noun meaning without measure
ஏ,O,expletive particle
சாரல்,MOUNTAIN,mountain slopes
கருங்கோல்,PLANT,kurinji plants with dark stems
குறிஞ்சிப்,FLOWER,kurinji flowers
பூக்,FLOWER,flowers
கொண்டு,O,verb meaning using
பெருந்தேன்,FOOD,rich honey
இழைக்கும்,O,verb meaning they make
நாடனொடு,PERSON,with the man from the mountain country
நட்பே,O,friendship or love
**Poem 4**,,
நோம்,O,verb meaning aches
என்,O,pronoun meaning my
நெஞ்சே,O,noun meaning heart (vocative)
நோம்,O,verb meaning aches
என்,O,pronoun meaning my
நெஞ்சே,O,noun meaning heart (vocative)
இமை,O,body part meaning eyelids
தீய்ப்பன்ன,O,adjective meaning like burning
கண்ணீர்,NATURE,tears
தாங்கி,O,verb meaning wiped or blocked
