Word,Entity,Explanation
**Poem 1**,,
நின்ற,O,adjective meaning truthful
சொல்லர்,O,noun meaning in words
நீடு,O,adverb meaning always or for long
தோன்று,O,verb meaning appears
இனியர்,PERSON,he is sweet-natured
என்றும்,O,adverb meaning forever
என்,O,pronoun meaning my
தோள்,O,arms or shoulders
பிரிபு,O,noun meaning separation
அறியலரே,O,verb meaning he does not know
தாமரைத்,FLOWER,lotus
தண்,O,adjective meaning cool
தாது,FOOD,pollen
ஊதி,O,verb meaning buzzing or humming
மீமிசை,O,adverb meaning high above
சாந்தில்,PLANT,in the sandalwood tree
தொடுத்த,O,verb meaning placed or attached
தீம்,O,adjective meaning sweet
தேன்,FOOD,honey
போல,O,like
புரைய,O,verb meaning it is great
மன்ற,O,particle implying certainty
புரையோர்,PERSON,one who is superior
கேண்மை,O,friendship
நீர்,WATERBODY,water
இன்று,O,verb meaning without
அமையா,O,verb meaning cannot exist
உலகம்,STRUCTURE,world
போல,O,like
தம்,O,pronoun meaning him
இன்று,O,verb meaning without
அமையா,O,verb meaning cannot exist
நம்,O,pronoun meaning us
நயந்து,O,verb meaning desiring
அருளி,O,verb meaning being kind
நறுநுதல்,O,fragrant forehead
பசத்தல்,O,noun meaning pallor
அஞ்சி,O,verb meaning fearing
சிறுமை,O,noun meaning pettiness
உறுபவோ,O,verb meaning will he do
செய்பு,O,noun meaning to do that
அறியலரே,O,verb meaning he does not know
**Poem 2**,,
அழுந்துபட,O,adverb meaning deeply
வீழ்ந்த,O,verb meaning rooted
பெருந்தண்,O,adjective meaning tall and cool
குன்றத்து,MOUNTAIN,in the mountains
ஒலி,O,adjective meaning flourishing
வல்,O,adjective meaning strong
ஈந்தின்,PLANT,date palm trees
உலவை,NATURE,windy
அம்,O,suffix meaning beautiful
காட்டு,FOREST,in the forest
ஆறு,PATH,path
செல்,O,verb meaning travel
மாக்கள்,PERSON,people
சென்னி,O,heads
எறிந்த,O,verb meaning attacking
செம்மறுத்,O,adjective meaning red (with blood)
தலைய,O,with heads
நெய்த்தோர்,O,with blood
வாய,O,with mouths
வல்லியம்,O,adjective meaning strong
பெருந்தலைக்,ANIMAL,with big heads
குருளை,ANIMAL,cubs
மாலை,NATURE,evening
மரல்,PLANT,hemp bushes
நோக்கு,O,verb meaning looking from
இண்டு,PLANT,indu vines
இவர்,O,verb meaning spread on
ஈங்கைய,PLANT,eengai plants
சுரனே,DESERT,in the wasteland
வை,ANIMAL,sharp
எயிற்று,ANIMAL,with teeth
ஐயள்,PERSON,delicate young woman
மடந்தை,PERSON,young woman
முன்,O,in front
உற்று,O,verb meaning letting
எல்,NATURE,night
இடை,NATURE,time
நீங்கும்,O,verb meaning leaves
இளையோன்,PERSON,young man
உள்ளம்,O,heart
