Word,Entity,Explanation
poem5,,
பாய்,O,adjective meaning spreading/flowing
இரும்,O,adjective meaning dark/huge
பனிக்,NATURE,cold/frost
கடல்,WATERBODY,ocean
பார்,PLACE,earth/land
துகள்,O,noun meaning dust
பட,O,verb meaning to become/to happen
ப்புக்கு,O,verb meaning entering
சேய்,O,adverb meaning very/afar
உயர்,O,adjective meaning high/tall
பிணிமுகம்,ANIMAL,Pinimukam (Murukan's elephant)
ஊர்ந்து,O,verb meaning riding
அமர்,NATURE,battle/war
உழக்கி,O,verb meaning fighting/struggling
தீ,NATURE,fire
அழல்,NATURE,flame/fire
துவைப்ப,O,verb meaning to sound loudly
த்திரிய,O,verb meaning to swirl/to turn
விட்டெறிந்து,O,verb meaning throwing/releasing
நோயுடை,O,adjective meaning causing distress/harmful
நுடங்கு,O,verb meaning moving/swaying
சூர்,MYTH,Sooran (demon)
மா,PLANT,mango tree
முதல்,PLANT,trunk/base
தடிந்து,O,verb meaning cutting/chopping
வென்றியின்,O,noun meaning because of victory
மக்களுள்,PERSON,among them/among the sons
ஒருமையொடு,O,noun meaning with oneness/with nature
பெயரிய,O,past participle meaning named/famous
கொன்று,O,verb meaning killing
உணல்,O,verb meaning eating
அஞ்சாக,O,negative adjective meaning not afraid
கொடு,O,adjective meaning cruel/evil
வினைக்,O,noun meaning deed/action
கொல்,O,adjective meaning killing/murderous
தகை,O,noun meaning nature/ability
மாய,MYTH,tricky/deceptive
அவுணர்,MYTH,asuras/demons
மருங்கு,O,noun meaning side/family
அற,O,adverb meaning completely/totally
த்தபுத்த,O,past participle meaning destroyed/ruined
வேல்,WEAPON,spear
நாவலந்,PLACE,Nāvalan island
தண்,O,adjective meaning cool
பொழில்,FOREST,grove/forest
வட,O,adjective meaning north/northern
பொழில்,FOREST,grove/forest
ஆயிடை,O,postposition meaning in between
குருகொடு,BIRD,with heron/bird name
பெயர்,O,noun meaning name
பெற்ற,O,past participle meaning obtained/got
மால்,O,adjective meaning dark/great
வரை,MOUNTAIN,mountain
உடைத்து,O,verb meaning broke/destroyed
மலை,MOUNTAIN,mountain
ஆற்றுப்படுத்த,O,past participle meaning made a path/created a way
மூ,O,numeral meaning three
இரு,O,numeral meaning two/six
கயந்தலை,PERSON,O lord with six delicate heads
மூ,O,numeral meaning three
இரு,O,numeral meaning two/six
கயந்தலை,PERSON,six delicate heads
முந்நான்கு,O,numeral meaning twelve (three fours)
முழவுத்,OBJECT,drum-like
தோள்,PERSON,arms/shoulders
ஞாயிற்று,NATURE,of the sun
ஏர்,O,adjective meaning like/resembling
நிறத்தகை,PERSON,O lord of that color
நளினத்துப்,FLOWER,in the lotus
பிறவியை,PERSON,O lord who was born
காஅய்,DEITY,O god who ruins (Sivan)
கடவுட்,DEITY,god
சேஎய்,PERSON,Murukan (son)
செவ்வேள்,PERSON,O red lord/Murukan
சால்வ,PERSON,O lord with wisdom
தலைவ,PERSON,O lord with leadership
என,O,quotative particle meaning thus
ப்பேஎ,O,adjective meaning fear-causing (with expletive)
விழவினுள்,O,noun meaning in the festival
வேலன்,PROFESSION,vēlan (Murukan priest)
ஏத்தும்,O,verb meaning praising
வெறியும்,O,noun meaning veriyāttam/frenzy dance
உளவே,O,verb with expletive meaning there are
அவை,O,pronoun meaning they/those
வாயும்,O,noun meaning truth/true
அல்ல,O,negative verb meaning are not
பொய்யும்,O,noun meaning lie/false
அல்ல,O,negative verb meaning are not
நீயே,PERSON,you yourself
வரம்பிற்று,O,noun meaning limit/boundary
இவ்,O,pronoun meaning this
உலகம்,PLACE,world
ஆதலின்,O,conjunction meaning therefore/since
சிறப்போய்,PERSON,O great one
சிறப்பு,O,noun meaning greatness
இன்றி,O,negative adverb meaning without
பெயர்குவை,O,verb meaning you will move away
சிறப்பினுள்,O,noun meaning in greatness/with greatness
உயர்வு,O,noun meaning height/superiority
ஆகலும்,O,verbal noun meaning and attaining/being
பிறப்பினுள்,O,noun meaning in births
இழிபு,O,noun meaning lowness/inferiority
ஆகலும்,O,verbal noun meaning and attaining/being
ஏனோர்,PERSON,others/all lives
நின்,O,pronoun meaning your
வலத்தினதே,O,noun with expletive meaning due to command/power
ஆதி,O,adjective meaning ancient/primeval
அந்தணன்,DEITY,Brahman
அறிந்து,O,verb meaning knowing
பரி,ANIMAL,horse
கொளுவ,O,verb meaning to hitch/to yoke
வேத,O,noun meaning Veda
மா,ANIMAL,horse
பூண்,O,verb meaning hitched/yoked
வையத்,PLACE,earth
தேர்,VEHICLE,chariot
ஊர்ந்து,O,verb meaning riding
நாகம்,ANIMAL,snake (Vāsuki)
நாணா,OBJECT,as bow-string/rope
மலை,MOUNTAIN,mountain (Himalayas)
வில்லாக,WEAPON,as a bow
மூவகை,O,adjective meaning three kinds
ஆர்,O,adjective meaning difficult/rare
எயில்,STRUCTURE,fort
ஓர்,O,adjective meaning one
அழல்,NATURE,flame/fire
அம்பின்,WEAPON,arrow
முளிய,O,verb meaning to be destroyed/to perish
மாதிரம்,NATURE,directions
அழல,O,verb meaning to burn/to scorch
எய்து,O,verb meaning shooting
அமரர்,DEITY,celestials/gods
வேள்விப்,O,noun meaning ritual/sacrifice
பாகம்,FOOD,portion/offering
உண்ட,O,past participle meaning ate/consumed
பைங்,O,adjective meaning green/young
கட்,PERSON,with eyes
பார்ப்பான்,PROFESSION,Brahmin (Sivan)
உமையொடு,DEITY,with Umai (goddess)
புணர்ந்து,O,verb meaning uniting/joining
காம,O,noun meaning love/desire
வதுவையுள்,O,noun meaning in the wedding
அமையாப்,O,negative adjective meaning endless/unending
புணர்ச்சி,O,noun meaning union
அமைய,O,verb meaning to occur/to happen
நெற்றி,PERSON,forehead
இமையா,O,negative adjective meaning unblinking
நாட்டத்து,PERSON,with eyes/sight
ஓரு,O,adjective meaning one (emphatic)
வரம்,O,noun meaning boon
கொண்டு,O,verb meaning taking/receiving
விலங்கு,O,adverb meaning as obstacle/discard it
என,O,quotative particle meaning thus
விண்ணோர்,DEITY,celestials/gods
வேள்வி,O,noun meaning ritual/sacrifice
முதல்வன்,PERSON,lord (Indiran)
விரி,O,adjective meaning spreading/radiating
கதிர்,NATURE,ray
மணிப்,OBJECT,gems/jewels
பூணவற்கு,PERSON,to one wearing jewels (Indiran)
தான்,O,pronoun meaning he himself (Sivan)
ஈத்தது,O,past participle meaning the boon given
அரிது,O,predicate meaning difficult/precious
என,O,quotative particle meaning thus
மாற்றான்,O,verb meaning does not change/not alter
வாய்மையன்,PERSON,truthful one
ஆதலின்,O,conjunction meaning since being
எரி,NATURE,fire
கனன்று,O,verb meaning burning with rage
ஆனாக்,O,negative adjective meaning unceasing/continuous
குடாரி,WEAPON,axe
கொண்டவன்,PERSON,one with axe (Sivan)
உருவு,O,noun meaning form
திரித்திட்டோன்,PERSON,one who shattered the form
இவ்,O,pronoun meaning this
உலகு,PLACE,world
ஏழும்,O,numeral meaning all seven
மருள,O,verb meaning to be aghast/to be confused
கருப்,O,noun meaning embryo
பெற்றுக்,PERSON,those who received
கொண்டோர்,PERSON,those who took/received (sages)
கழிந்த,O,past participle meaning gone/passed/emitted
சேய்,O,adjective meaning young/distant
யாக்கை,O,noun meaning body
நொசிப்பின்,O,noun meaning with subtle mind/with discernment
ஏழ்,O,numeral meaning seven
உறு,O,adjective meaning possessing/filled with
முனிவர்,PERSON,sages
நனி,O,adverb meaning greatly/very
உணர்ந்து,O,verb meaning understanding/realizing
வசித்ததை,O,past participle meaning the chopping/the cutting
