Word,Entity,Explanation
poem13,,
மணி,OBJECT,sapphire/gem
வரை,MOUNTAIN,mountain
ஊர்ந்த,O,verb meaning crawling/moving
மங்குல்,NATURE,cloud
ஞாயிற்று,NATURE,sun
அணி,O,adjective meaning beautiful
வனப்பு,O,noun meaning beauty
அமைந்த,O,past participle meaning having/possessing
பூந்துகில்,CLOTHING,delicate/flowery garment
புனை,O,adjective meaning well-made/beautiful
முடி,OBJECT,crown
இறுவரை,MOUNTAIN,huge mountain/peak
இழிதரும்,O,verb meaning flowing down
பொன்,O,noun meaning gold
மணி,OBJECT,gems/sapphire
அருவியின்,WATERBALL,like waterfalls
நிறனொடு,O,noun meaning with color
மாறும்,O,verb meaning differing/changing
தார்,OBJECT,garland
புள்ளுப்,BIRD,bird (Garudan)
பொறி,O,noun meaning picture/mark
புனை,O,adjective meaning decorated/made
கொடி,OBJECT,flag
விண்,NATURE,sky
அளி,O,noun meaning grace/gift
கொண்ட,O,past participle meaning having/received
வியன்,O,adjective meaning large/wide
மதி,NATURE,moon
அணி,O,noun meaning beauty
கொள,O,verb meaning to have/to take
த்தண்,O,adjective meaning cool
அளி,O,noun meaning grace/compassion
கொண்ட,O,past participle meaning having
அணங்குடை,O,adjective meaning fierce/causing fear
நேமி,WEAPON,discus
மால்,PERSON,Thirumāl
பருவம்,NATURE,season (rainy season)
வாய்த்தலின்,O,verbal noun meaning because of occurring
இரு,O,adjective meaning two
விசும்பு,NATURE,sky
அணிந்த,O,past participle meaning adorning/decorating
இரு,O,adjective meaning two
வேறு,O,adjective meaning different
மண்டிலத்து,NATURE,orbs (sun and moon)
இலக்கம்,O,noun meaning bright/light
போல,O,comparative particle meaning like
நேமியும்,WEAPON,discus
வளையும்,OBJECT,conch shell
ஏந்திய,O,past participle meaning holding/lifting
கையால்,PERSON,with hands
கருவி,NATURE,clouds with thunder and lightning
மின்,NATURE,lightning
அவிர்,O,adjective meaning bright/shining
இலங்கும்,O,verb meaning shining/gleaming
பொலம்,O,noun meaning gold
பூண்,OBJECT,ornament/jewel
அருவி,WATERBALL,waterfall
உருவின்,O,noun meaning in the form/shape
ஆரமொடு,OBJECT,with pearl strand
அணிந்த,O,past participle meaning adorned/wearing
நின்,O,pronoun meaning your
திரு,O,adjective meaning sacred/beautiful
வரை,MOUNTAIN,mountain
அகலம்,PERSON,chest
தொழுவோர்க்கு,PERSON,to those who worship
உரிது,O,predicate meaning belonging/fitting
அமர்,O,adjective meaning beautiful/desirable
துறக்கமும்,PLACE,celestial world
உரிமை,O,noun meaning right/ownership
நன்கு,O,adverb meaning well/clearly
உடைத்து,O,verb meaning has/possesses
சுவைமை,O,noun meaning taste
இசைமை,O,noun meaning sound
தோற்றம்,O,noun meaning sight/appearance
நாற்றம்,O,noun meaning smell
ஊறு,O,noun meaning touch
அவையும்,O,pronoun meaning those senses
நீயே,PERSON,you are
அடு,O,adjective meaning murderous/killing
போர்,NATURE,battle/war
அண்ணால்,PERSON,O lord
அவை,O,pronoun meaning those
அவை,O,pronoun meaning those
கொள்ளும்,O,verb meaning taking/having
கருவியும்,O,noun meaning instruments/manifestations
நீயே,PERSON,you are
முந்து,O,adverb meaning before/earlier
யாம்,PERSON,we
கூறிய,O,past participle meaning said/spoke
ஐந்தனுள்ளும்,O,numeral meaning among the five
ஒன்றனில்,O,numeral meaning in one
போற்றிய,O,past participle meaning praised
விசும்பும்,NATURE,sky
நீயே,PERSON,you are
இரண்டின்,O,numeral meaning in two
உணரும்,O,verb meaning felt/perceived
வளியும்,NATURE,wind/air
நீயே,PERSON,you are
மூன்றின்,O,numeral meaning in three
உணரும்,O,verb meaning felt/perceived
தீயும்,NATURE,fire
நீயே,PERSON,you are
நான்கின்,O,numeral meaning in four
உணரும்,O,verb meaning felt/perceived
நீரும்,WATERBODY,water
நீயே,PERSON,you are
ஐந்துடன்,O,numeral meaning with five
முற்றிய,O,past participle meaning completed/perfected
நிலனும்,PLACE,land/earth
நீயே,PERSON,you are
அதனால்,O,conjunction meaning therefore/so
நின்,O,pronoun meaning your
மருங்கின்று,O,adverb meaning near/with you
மூ,O,numeral meaning three
ஏழ்,O,numeral meaning seven
உலகமும்,PLACE,worlds
மூலமும்,O,noun meaning primal source
அறனும்,O,noun meaning righteousness/justice
முதன்மையின்,O,noun meaning from the beginning/first
இகந்த,O,past participle meaning passed/beyond
காலமும்,NATURE,time
விசும்பும்,NATURE,sky
காற்றொடு,NATURE,with wind
கனலும்,NATURE,fire/flame
தன்,O,pronoun meaning his own
உரு,PERSON,form
உறழும்,O,verb meaning differing/being different
பாற்கடல்,WATERBODY,milk ocean
நாப்பண்,O,postposition meaning in the middle
மின்,NATURE,lightning
அவிர்,O,adjective meaning bright/shining
சுடர்,NATURE,light/flame
மணி,OBJECT,gems/sapphire
ஆயிரம்,O,numeral meaning thousand
விரித்த,O,past participle meaning spread
கவை,O,adjective meaning forked
நா,ANIMAL,tongue
அருந்தலை,ANIMAL,fierce heads (Āthisēdan)
காண்பு,O,adjective meaning sweet to behold
இன்,O,adjective meaning sweet
சேக்கை,O,noun meaning bed
த்துளவம்,PLANT,holy basil
சூடிய,O,past participle meaning wearing
அறிதுயிலோனும்,PERSON,one who is in conscious sleep (Thirumāl)
மறம்,O,noun meaning bravery
மிகு,O,adjective meaning great
மலி,O,adjective meaning abundant/loud
ஒலி,O,noun meaning sound/uproar
மாறு,O,verb meaning opposing/killing
அடு,O,adjective meaning killing/destroying
தானையால்,WARRIOR,with army
திறன்,O,noun meaning goodness/righteousness
இகந்து,O,verb meaning exceeding/crossing
வரூஉம்,O,verb meaning coming (with expletive)
அவர்,PERSON,they/enemies
உயிர்,O,noun meaning life
அகற்றும்,O,verb meaning removing/taking
விறல்,O,noun meaning victory
மிகு,O,adjective meaning great
வலி,O,noun meaning strength
ஒலி,O,noun meaning sound/uproar
பொலிபு,O,verb meaning with/with abundance
அகழ்,O,verb meaning digging
புழுதியின்,O,noun meaning like dust
நிறன்,PERSON,chest (of enemies)
உழும்,O,verb meaning plowing
வளைவாய்,WEAPON,curved plow
நாஞ்சிலோனும்,PERSON,Balathēvan with plow
நானிலம்,PLACE,earth with four types of land
துளக்கு,O,noun meaning distress/trembling
அற,O,adverb meaning without/removing
முழு,O,adjective meaning full/thick
முதல்,O,noun meaning base/root (of tusk)
நாற்றிய,O,past participle meaning attached/placed
பொலம்,O,noun meaning gold
புனை,O,adjective meaning made/adorned
இதழ்,FLOWER,petal
அணி,O,adjective meaning beautiful
மணி,OBJECT,gems/jewels
மடல்,FLOWER,petal/flower
பேர்,O,adjective meaning great/large
அணி,OBJECT,ornament
இலங்கு,O,adjective meaning shining
ஒளி,NATURE,light/brightness
மருப்பின்,ANIMAL,with tusks
களிறும்,ANIMAL,as a boar
ஆகி,O,verb meaning becoming
மூ,O,numeral meaning three
உரு,PERSON,forms (Trimurti)
ஆகிய,O,past participle meaning becoming
தலைபிரி,PERSON,primal/chief
ஒருவனை,PERSON,you who are one
படர்,O,adjective meaning spread
சிறை,BIRD,wing
பல்,O,adjective meaning many/various
நிற,COLOR,color
ப்பாப்புப்,ANIMAL,snake
பகையை,ANIMAL,enemy (Garudan)
கொடியென,OBJECT,as a flag
க்கொண்ட,O,past participle meaning having
கோடாச்,O,negative adjective meaning just/not deviating
செல்வனை,PERSON,O lord
ஏவல்,O,noun meaning command/order
இன்,O,adjective meaning sweet
முதுமொழி,O,noun meaning ancient words/Vedas
கூறும்,O,verb meaning reciting/saying
சேவல்,BIRD,male bird/rooster (Garudan)
ஓங்கு,O,adjective meaning high/tall
உயர்,O,adjective meaning high/lofty
கொடிச்,OBJECT,flag
செல்வ,PERSON,O lord
நல்,O,adjective meaning good/fine
புகழவை,PERSON,O lord with fame
கார்,NATURE,rain cloud
மலர்ப்,FLOWER,flower
பூவை,FLOWER,kāyā flower
கடலை,WATERBODY,ocean
இருள்,NATURE,darkness
