Word,Entity,Explanation
poem17,,
தேம்படு,FOOD,honey-filled
மலர்,FLOWER,flower
குழை,PLANT,tender leaf
பூந்துகில்,CLOTHING,delicate/beautiful clothing
வடி,O,adjective meaning beautiful/cast (bell)
மணி,OBJECT,bell
ஏந்திலை,WEAPON,spear with lifted blade
சுமந்து,O,verb meaning carrying
சாந்தம்,OBJECT,sandal paste
விரைஇ,O,verb meaning sprinkling (with expletive)
விடை,ANIMAL,male goat
அரை,PLANT,tree trunk
அசைத்த,O,past participle meaning tied/placed
வேலன்,PROFESSION,vēlan (Murukan priest)
கடிமரம்,PLANT,sacred/protected tree (kadampam)
பரவினர்,PERSON,those who praised/worshipped
உரையொடு,O,noun meaning with verses/words
பண்ணிய,O,past participle meaning created/made
இசையினர்,PROFESSION,musicians
விரிமலர்,FLOWER,open flower
மதுவின்,FOOD,from honey
மரன்,PLANT,tree
நனை,O,verb meaning becoming wet
குன்றத்து,MOUNTAIN,in the mountain (Thirupparankundram)
கோல்,OBJECT,oil cloth on stick
எரி,NATURE,fire/flame
கொளை,O,noun meaning music/musical instruments
நறை,O,noun meaning fragrance
புகை,O,noun meaning smoke
கொடி,OBJECT,flag
ஒருங்கு,O,adverb meaning together
எழ,O,verb meaning to rise
மாலை,NATURE,evening
மாலை,NATURE,evening
அடியுறை,PERSON,divine feet
இயைநர்,PERSON,those who stay/those who attain
மேலோர்,PERSON,those in the upper world/celestials
உறையுளும்,PLACE,dwelling place
வேண்டுநர்,PERSON,those who desire
யாஅர்,PERSON,who (with expletive)
ஒரு,O,adjective meaning one
திறம்,PLACE,side
பாணர்,PROFESSION,bards
யாழின்,OBJECT,of the yāzh (musical instrument)
தீங்குரல்,O,noun meaning sweet sound/music
எழ,O,verb meaning to rise
ஒரு,O,adjective meaning one
திறம்,PLACE,side
யாணர்,INSECT,honey bees (with honey)
வண்டின்,INSECT,of bees
இமிர்,O,adjective meaning humming
இசை,O,noun meaning music/sound
எழ,O,verb meaning to rise
ஒரு,O,adjective meaning one
திறம்,PLACE,side
கண்,OBJECT,node/hole (of flute)
ஆர்,O,verb meaning having
குழலின்,OBJECT,flute's
கரைபு,O,verb meaning sounding
எழ,O,verb meaning to rise
ஒரு,O,adjective meaning one
திறம்,PLACE,side
பண்,O,adjective meaning musical/tuned
ஆர்,O,verb meaning having
தும்பி,INSECT,thumpi bee
பரந்து,O,verb meaning spreading
இசை,O,noun meaning music
ஊத,O,verb meaning to hum/to sound
ஒரு,O,adjective meaning one
திறம்,PLACE,side
மண்,OBJECT,clay
ஆர்,O,verb meaning having
முழவின்,OBJECT,of the drum
இசை,O,noun meaning music/sound
எழ,O,verb meaning to rise
ஒரு,O,adjective meaning one
திறம்,PLACE,side
அண்ணல்,O,adjective meaning noble/great
நெடுவரை,MOUNTAIN,tall mountain
அருவி,WATERBALL,waterfall
நீர்,WATERBODY,water
ததும்ப,O,verb meaning to overflow/to roar
ஒரு,O,adjective meaning one
திறம்,PLACE,side
பாடல்,O,noun meaning song
நல்,O,adjective meaning good/skilled
விறலியர்,PROFESSION,virali dancers/singers
ஒல்குபு,O,verb meaning swaying
நுடங்க,O,verb meaning to sway/dance
ஒரு,O,adjective meaning one
திறம்,PLACE,side
வாடை,NATURE,cold wind
உளர்வயின்,O,noun meaning where it blows
பூங்கொடி,PLANT,flowering vine
நுடங்க,O,verb meaning to sway
ஒரு,O,adjective meaning one
திறம்,PLACE,side
பாடினி,PROFESSION,female singer
முரலும்,O,verb meaning singing
பாலை,PALAI,pālai tune/melody
அம்,O,adjective meaning beautiful
குரலின்,O,noun meaning with voice/tune
நீடு,O,adjective meaning long
கிளர்,O,adjective meaning rising
கிழமை,O,noun meaning kilamai (note variation)
நிறை,O,noun meaning nirai (note variation)
குறை,O,noun meaning kurai (note variation)
தோன்ற,O,verb meaning to appear
ஒரு,O,adjective meaning one
திறம்,PLACE,side
ஆடு,O,verb meaning dancing
சீர்,O,noun meaning rhythm/beat
மஞ்ஞை,BIRD,peacock
அரி,O,adjective meaning sharp
குரல்,O,noun meaning sound/call
தோன்ற,O,verb meaning to appear
மாறு,O,adverb meaning again and again
மாறு,O,adverb meaning again and again
உற்றன,O,verb meaning happened/occurred
போல்,O,comparative particle meaning like
மாறு,O,noun meaning different/contrasting
எதிர்,O,noun meaning echo/reverberation
கோடல்,O,verbal noun meaning receiving/hearing
மாறு,O,verb meaning defeating/killing
அட்டான்,PERSON,one who killed enemies (Murukan)
குன்றம்,MOUNTAIN,mountain
உடைத்து,O,verb meaning has/possesses
பாடல்,O,noun meaning song/verse
சான்று,O,past participle meaning having/abundant
பல்,O,adjective meaning many
புகழ்,O,noun meaning fame
முற்றிய,O,past participle meaning complete/full
கூடலொடு,PLACE,with Koodal/Madurai
பரங்குன்றின்,MOUNTAIN,of Thirupparankundram
இடை,PLACE,space between
கமழ்,O,adjective meaning fragrant
நறுஞ்,O,adjective meaning fragrant
சாந்தின்,OBJECT,with sandal paste
அவர்,PERSON,they (men and women)
அவர்,PERSON,they (men and women)
திளைப்ப,O,verb meaning to be close/to enjoy
நணி,O,adverb meaning closely/near
நணித்து,O,adverb meaning closely/near
ஆயினும்,O,conjunction meaning even though
சேஎய்,PERSON,Murukan
ச்சேய்த்து,O,predicate meaning was far/distant
மகிழ்,O,noun meaning happiness
மிகு,O,adjective meaning great/much
தேஎம்,FOOD,honey (with expletive)
கோதையர்,PERSON,those with garlands (women)
கூந்தல்,PERSON,hair (of women)
குஞ்சியின்,PERSON,from the hair (of men)
சோர்ந்து,O,verb meaning falling/drooping
அவிழ்,O,verb meaning opening/loosening
இதழின்,FLOWER,with petals
இயங்கும்,O,verb meaning moving/walking
ஆறு,O,noun meaning path/way
இன்று,O,negative verb meaning there is not
வசை,O,noun meaning fault/blame
நீங்கிய,O,past participle meaning removed/faultless
வாய்மையால்,O,noun meaning because of fame/truth
வேள்வியால்,O,noun meaning by rituals/worship
திசை,NATURE,direction
நாறிய,O,past participle meaning spread/pervaded
குன்று,MOUNTAIN,mountain
அமர்ந்து,O,verb meaning being seated/being
ஆண்டு,O,adverb meaning there/in that place
ஆண்டு,O,adverb meaning there/in that place
ஆவி,O,noun meaning life/breath
உண்ணும்,O,verb meaning consuming/taking
அகில்,PLANT,akil/eaglewood
கெழு,O,adjective meaning having/with
கமழ்,O,adjective meaning fragrant
புகை,O,noun meaning smoke
வாய்வாய்,O,adverb meaning from those places
மீ,O,adverb meaning above/up
போய்,O,verb meaning going
உம்பர்,NATURE,above/sky
இமைபு,O,verb meaning blinking
இறப்ப,O,verb meaning to leave/to pass
தேயா,O,negative adjective meaning not diminishing/not reducing
மண்டிலம்,NATURE,sun/celestial orb
காணுமாறு,O,verbal noun meaning way to see
இன்று,O,negative verb meaning there is not
வளை,OBJECT,bangle
முன்,O,adjective meaning front/curved
கை,PERSON,hand/forearm
வணங்கு,O,adjective meaning curved/bent
இறையார்,PERSON,women with beautiful joints
அணை,OBJECT,pillow-like
மென்,O,adjective meaning delicate/soft
தோள்,PERSON,shoulders/arms
