Word_Original,Hierarchical_Entity_Tag
நின்ற,VERB_STAND
சொல்லர்,SPEECH_WORD
நீடு,TIME_LONG
தோன்று,NATURE_APPEAR
இனியர்,QUALITY_SWEET
என்றும்,TIME_ETERNAL
என்,PRONOUN_MY
தோள்,BODY_PART_SHOULDER
பிரிபு,ACTION_SEPARATE
அறியலரே,KNOWLEDGE_NOTKNOW
தாமரை,FLOWER_LOTUS
தண்,QUALITY_COOL
தாது,FLOWER_POLLEN
ஊதி,ACTION_SIP
மீமிசை,LOCATION_HEIGHT
சாந்தில்,TREE_SANDAL
தொடுத்த,ACTION_STRING
தீம்,TASTE_SWEET
தேன்,FOOD_HONEY
போல,SIMILE_LIKE
புரைய,QUALITY_EQUAL
மன்ற,EMPHASIS_INDEED
புரையோர்,PEOPLE_EQUAL
கேண்மை,RELATIONSHIP_FRIENDSHIP
நீர்,NATURE_WATER
இன்று,ABSENCE_WITHOUT
அமையா,ACTION_LACK
உலகம்,PLACE_WORLD
போல,SIMILE_LIKE
தம்,PRONOUN_THEMSELVES
இன்று,ABSENCE_WITHOUT
அமையா,ACTION_LACK
நம்,PRONOUN_US
நயந்து,EMOTION_LOVE
அருளி,ACTION_BLESS
நறுநுதல்,BODY_PART_FOREHEAD
பசத்தல்,COLOR_PALLOR
அஞ்சிச்,EMOTION_FEAR
சிறுமை,QUALITY_SMALLNESS
உறுபவோ,EMOTION_SUFFER
செய்பு,ACTION_DO
அறியலரே,KNOWLEDGE_NOTKNOW
அழுந்துபட,ACTION_SINK
வீழ்ந்த,ACTION_FALL
பெருந்தண்,QUALITY_VERYCOOL
குன்றத்து,LOCATION_HILL
ஒலி,SOUND_SOUND
வல்,QUALITY_STRONG
ஈந்தின்,TREE_DATE
உலவையங்காட்டு,LOCATION_FOREST
ஆறு,NATURE_RIVER
செல்,ACTION_GO
மாக்கள்,PEOPLE_TRAVELER
சென்னி,BODY_PART_HEAD
எறிந்த,ACTION_STRIKE
செம்மறுத்,BODY_PART_SKULL
தலைய,BODY_PART_HEAD
நெய்த்தோர்,SUBSTANCE_FAT
வாய,BODY_PART_MOUTH
வல்லியப்,ANIMAL_TIGER
பெருந்தலைக்,ANIMAL_HEAD
குருளை,ANIMAL_CUB
மாலை,TIME_EVENING
மரல்,ANIMAL_DEER
நோக்கு,ACTION_GAZE
இண்டு,LOCATION_DENSE
இவர்,ACTION_SPREAD
ஈங்கைய,TREE_IPOEMEA
சுரனே,LOCATION_DESERT
வை,QUALITY_SHARP
எயிற்று,BODY_PART_TOOTH
ஐயள்,WOMAN_YOUNG
மடந்தை,WOMAN_LADY
முன்,TIME_BEFORE
உற்று,ACTION_HAPPEN
எல்,TIME_DAY
இடை,TIME_INTERVAL
நீங்கும்,ACTION_LEAVE
இளையோன்,MAN_YOUTH
உள்ளம்,ORGAN_MIND
காலொடு,NATURE_WIND
பட்ட,ACTION_TOUCH
மாரி,NATURE_RAIN
மால்,QUALITY_DARK
வரை,LOCATION_MOUNTAIN
மிளிர்க்கும்,ACTION_SHINE
உருமினும்,NATURE_THUNDER
கொடிதே,QUALITY_CRUEL
ஈன்,ANIMAL_EAGLE
பருந்து,ANIMAL_EAGLE
உயவும்,ACTION_FLY
வான்,SKY_HEAVEN
பொரு,ACTION_TOUCH
நெடுஞ்சினைப்,TREE_BRANCH
பொரி,TREE_SEED
அரை,TREE_TRUNK
வேம்பின்,TREE_NEEM
புள்ளி,COLOR_SPOT
நீழல்,SHADE_SHADE
கட்டளை,OBJECT_STANDARD
அன்ன,SIMILE_LIKE
இட்டு,ACTION_PLACE
அரங்கு,PLACE_STAGE
இழைத்துக்,ACTION_CREATE
கல்லாச்,QUALITY_UNLEARNED
சிறாஅர்,CHILD_BOY
நெல்லி,FRUIT_GOOSEBERRY
வட்டு,GAME_DISK
ஆடும்,ACTION_PLAY
வில்,WEAPON_BOW
ஏர்,TOOL_PLOUGH
உழவர்,PEOPLE_FARMER
வெம்முனைச்,QUALITY_HOT
சீறூர்,PLACE_VILLAGE
சுரன்,LOCATION_DESERT
முதல்,LOCATION_ENTRANCE
வந்த,ACTION_COME
உரன்,QUALITY_STRENGTH
மாய்,ACTION_DISAPPEAR
மாலை,TIME_EVENING
உள்ளினென்,ACTION_THINK
அல்லெனோ,QUESTION_QUESTION
யானே,PRONOUN_I
உள்ளிய,ACTION_DESIRE
வினை,WORK_TASK
முடித்தன்ன,SIMILE_COMPLETE
இனியோள்,WOMAN_SWEET
