text,label
வண்டுபடத் ததைந்த கண்ணி ஒண்கழல்,ETTUTHOGAI
உருவக் குதிரை மழவர் ஓட்டிய,ETTUTHOGAI
முருகன் நற்போர் நெடுவேள் ஆவி,ETTUTHOGAI
"அறு கோட்டு யானைப் பொதினி யாங்கண்,",ETTUTHOGAI
சிறு காரோடன் பயினொடு சேர்த்திய,ETTUTHOGAI
கல் போல் பிரியலம்’ என்ற சொல் தாம்,ETTUTHOGAI
"மறந்தனர் கொல்லோ தோழி, சிறந்த",ETTUTHOGAI
வேய் மருள் பணைத்தோள் நெகிழச் சேய் நாட்டுப்,ETTUTHOGAI
பொலங்கல வெறுக்கை தருமார் நிலம் பக,ETTUTHOGAI
"அழல்போல் வெங்கதிர் பைது அறத் தெறுதலின்,",ETTUTHOGAI
நிழல் தேய்ந்து உலறிய மரத்த அறை காய்பு,ETTUTHOGAI
அறுநீர்ப் பைஞ்சுனை ஆம் அறப் புலர்தலின்,ETTUTHOGAI
"உகு நெல் பொரியும் வெம்மைய, யாவரும்",ETTUTHOGAI
"வழங்குநர் இன்மையின் வௌவுநர் மடிய,",ETTUTHOGAI
சுரம் புல்லென்ற ஆற்ற அலங்கு சினை,ETTUTHOGAI
நாரில் முருங்கை நவிரல் வான் பூச்,ETTUTHOGAI
சூரலங்கடு வளி எடுப்ப ஆருற்று,ETTUTHOGAI
உடை திரைப் பிதிர்வின் பொங்கி முன்,ETTUTHOGAI
"கடல் போல் தோன்றல, காடு இறந்தோரே?",ETTUTHOGAI
கோழ் இலை வாழைக் கோள் மிகு பெருங்குலை,ETTUTHOGAI
ஊழுறு தீங்கனி உண்ணுநர்த் தடுத்த,ETTUTHOGAI
சாரல் பலவின் சுளையொடு ஊழ்படு,ETTUTHOGAI
பாறை நெடுஞ்சுனை விளைந்த தேறல்,ETTUTHOGAI
"அறியாது உண்ட கடுவன், அயலது",ETTUTHOGAI
"கறி வளர் சாந்தம் ஏறல் செல்லாது,",ETTUTHOGAI
"நறுவீ அடுக்கத்து மகிழ்ந்து கண்படுக்கும்,",ETTUTHOGAI
குறியா இன்பம் எளிதின் நின் மலைப்,ETTUTHOGAI
பல் வேறு விலங்கும் எய்தும் நாட!,ETTUTHOGAI
குறித்த இன்பம் நினக்கெவன் அரிய,ETTUTHOGAI
வெறுத்த ஏஎர் வேய் புரை பணைத்தோள்,ETTUTHOGAI
"நிறுப்ப நில்லா நெஞ்சமொடு, நின் மாட்டு",ETTUTHOGAI
"இவளும் இனையள் ஆயின், தந்தை",ETTUTHOGAI
அருங்கடிக் காவலர் சோர்பதன் ஒற்றிக்,ETTUTHOGAI
"கங்குல் வருதலும் உரியை, பைம்புதல்",ETTUTHOGAI
வேங்கையும் ஒள் இணர் விரிந்தன,ETTUTHOGAI
நெடுவெண்திங்களும் ஊர் கொண்டன்றே.,ETTUTHOGAI
இருங்கழி முதலை மேஎந்தோல் அன்ன,ETTUTHOGAI
கருங்கால் ஓமைக் காண்பு இன் பெருஞ்சினை,ETTUTHOGAI
கடியுடை நனந்தலை ஈன்று இளைப்பட்ட,ETTUTHOGAI
"கொடுவாய்ப் பேடைக்கு அல்கு இரை தரீஇய,",ETTUTHOGAI
மான்று வேட்டு எழுந்த செஞ்செவி எருவை,ETTUTHOGAI
வான் தோய் சிமைய விறல் வரைக் கவாஅன்,ETTUTHOGAI
"துளங்கு நடை மரையா வலம்படத் தொலைச்சி,",ETTUTHOGAI
ஒண் செங்குருதி உவற்றி உண்டு அருந்துபு,ETTUTHOGAI
புலவுப் புலி துறந்த கலவுக் கழிக் கடு முடை,ETTUTHOGAI
"கொள்ளை மாந்தரின் ஆனாது கவரும்,",ETTUTHOGAI
புல் இலை மராஅத்த அகல் சேண் அத்தம்,ETTUTHOGAI
கலந்தரல் உள்ளமொடு கழியக் காட்டிப்,ETTUTHOGAI
