Word_Original,Hierarchical_Entity_Tag
திருமால்,DIVINE_VISHNU
எரிமலர்,NATURE_FLAMEFLOWER
சினைஇய,ACTION_BLOSSOM
கண்ணை,BODY_EYE
பூவை,NATURE_BUD
விரிமலர்,NATURE_BLOOMING
புரையும்,ACTION_RESEMBLE
மேனியை,BODY
மேனித்,ATTRIBUTE_BEAUTY
திரு,DIVINE_GRACE
ஞெமிர்ந்து,ACTION_SMILE
அமர்ந்த,ACTION_SIT
மார்பினை,BODY_CHEST
மார்பில்,LOCATION_CHEST
தெரிமணி,OBJECT_CRYSTAL
பிறங்கும்,ACTION_SHINE
பூணினை,OBJECT_NECKLACE
மால்வரை,GEOGRAPHY_MOUNTAIN
எரி,NATURE_FIRE
திரிந்தன்ன,ACTION_REVOLVE
பொன்,MATERIAL_GOLD
புனை,ACTION_ADORN
உடுக்கையை,CLOTHING_GARMENT
சேவலம்,ANIMAL_ROOSTER
கொடியோய்,DIVINE_BANNERBEARER
நின்,PRONOUN_YOUR
வலவயின்,PERSON_CHARIOTEER
நிறுத்தும்,ACTION_STAND
ஏவல்,COMMAND_ORDER
உழந்தமை,ACTION_ENDURE
கூறும்,ACTION_SPEAK
நாவல்,NATURE_NAVAL
அந்தணர்,PERSON_BRAHMIN
அருமறை,WISDOM_SECRET
பொருளே,CONCEPT_MEANING
அமர்,NATURE_WAR
வென்ற,ACTION_WIN
கணை,WEAPON_ARROW
இணை,OBJECT_PAIR
பிரி,ACTION_SEPARATE
அணி,OBJECT_ORNAMENT
துணி,CLOTHING
பணி,ACTION_SERVE
எரி,NATURE_FIRE
புரை,ACTION_RESEMBLE
விடர்,GEOLOGY_CRACK
இடு,ACTION_PLACE
சுடர்,NATURE_LIGHT
படர்,ACTION_SPREAD
பொலம்,MATERIAL_GOLD
புனை,ACTION_ADORN
வினை,ACTION_DO
மலர்,NATURE_FLOWER
நெரி,ACTION_CRUSH
திரட்,ATTRIBUTE_THICK
எரி,NATURE_FIRE
புரை,ACTION_RESEMBLE
தன,PRONOUN_SELF
மிகு,ATTRIBUTE_MUCH
தன,PRONOUN_SELF
முரண்,OBJECT_OPPOSITE
மிகு,ATTRIBUTE_MUCH
கடல்,NATURE_SEA
அரு,ATTRIBUTE_RARE
மணி,OBJECT_JEWEL
ஒடும்,CONJUNCTION_AND
முத்து,OBJECT_PEARL
யாத்த,ACTION_STRING
நேரணி,OBJECT_ORNAMENT
நெறி,PATH_WAY
செறி,ACTION_FILL
வெறி,AROMA
உறு,ACTION_RECEIVE
முறல்,ACTION_BRAVE
விறல்,ACTION_VALIANT
வணங்கு,ACTION_BOW
அணங்கு,DIVINE_GODDESS
வில்,WEAPON_BOW
தார்,OBJECT_GARLAND
அணி,OBJECT_ORNAMENT
துணி,CLOTHING
மணி,OBJECT_JEWEL
வெயில்,NATURE_SUNLIGHT
உறழ்,ACTION_COMPARE
எழில்,ATTRIBUTE_BEAUTY
புகழ்,ATTRIBUTE_FAME
அலர்,NATURE_FLOWER
மார்பின்,BODY_CHEST
எரி,NATURE_FIRE
வயிர,OBJECT_DIAMOND
நுதி,WEAPON_TIP
எறி,ACTION_THROW
படை,WEAPON
எருத்து,BODY_NECK
மலை,GEOGRAPHY_MOUNTAIN
இவர்,ACTION_COME
நவையினில்,LOCATION_SPOT
துணி,ACTION_DECIDE
படல்,ACTION_FALL
இன,ADJECTIVE_SUCH
மணி,OBJECT_JEWEL
வெயில்,NATURE_SUNLIGHT
உறழ்,ACTION_COMPARE
எழில்,ATTRIBUTE_BEAUTY
நக்கு,ACTION_LICK
இமை,BODY_EYELID
இருள்,NATURE_DARKNESS
அகல,ACTION_GO
முறு,ACTION_GROW
கிறுகு,ACTION_TREMBLE
புரி,ACTION_DO
ஒரு,ADJECTIVE_ONE
புரி,ACTION_DO
நாள்,TIME_DAY
மலர்,NATURE_FLOWER
மலர்,NATURE_FLOWER
இலகின,ACTION_SHINE
வளர்,ACTION_GROW
பரிதி,NATURE_SUN
ஒளி,NATURE_LIGHT
மணி,OBJECT_JEWEL
மார்பு,BODY_CHEST
அணி,OBJECT_ORNAMENT
மணம்,AROMA
மிக,ATTRIBUTE_MUCH
நாறு,ACTION_SMELL
உருவின,BODY_FORM
விரை,AROMA
வளி,NATURE_WIND
மிகு,ATTRIBUTE_MUCH
கடு,ATTRIBUTE_SHARP
விசை,POWER_SPEED
உடு,ACTION_WEAR
உறு,ACTION_RECEIVE
தலை,BODY_HEAD
நிரை,OBJECT_ROW
இதழ்,BODY_LIP
அணி,OBJECT_ORNAMENT
வயிறு,BODY_STOMACH
இரிய,ACTION_FEAR
அமரர்,DIVINE_GOD
போர்,NATURE_WAR
எழுந்து,ACTION_RISE
உடன்று,ACTION_ANGRY
இரைத்து,ACTION_ROAR
உரை,ACTION_SPEAK
இய,ACTION_SAY
தானவர்,DEMON_ASURA
சிரம்,BODY_HEAD
உமிழ்,ACTION_SPIT
புனல்,NATURE_WATER
பொழி,ACTION_POUR
பு,PARTICLE
இழிந்து,ACTION_DESCEND
உரம்,STRENGTH_POWER
உதிர்பு,ACTION_DROP
அதிர்பு,ACTION_SHAKE
அலம்,OBJECT_PESTLE
தொடா,ACTION_TOUCH
அமர்,NATURE_WAR
வென்ற,ACTION_WIN
கணை,WEAPON_ARROW
சொல்லில்,LANGUAGE_WORD
அடங்கா,ACTION_CONTAIN
பெரும்புகழ்,ATTRIBUTE_GREATFAME
பொருவேம்,ACTION_COMPETE
என்றவர்,PRONOUN_THOSE
மதம்,WISDOM_INTELLIGENCE
தப,ACTION_PENANCE
கடந்து,ACTION_CROSS
செரு,NATURE_WAR
மேம்பட்ட,ACTION_EXCELLED
செயிர்,ATTRIBUTE_BLEMISH
தீர்,ACTION_REMOVE
அண்ணல்,PERSON_LORD
இருவர்,PERSON_TWO
தாதை,PERSON_FATHER
இலங்கு,ACTION_SHINE
பூண்,OBJECT_ORNAMENT
மாவல்,TREE_BANANA
தெருள,ACTION_UNDERSTAND
நின்,PRONOUN_YOUR
வரவு,ACTION_COME
அறிதல்,ACTION_KNOW
மருள்,ATTRIBUTE_ILLUSION
அறு,ACTION_REMOVE
தேர்ச்சி,WISDOM_KNOWLEDGE
முனைவர்க்கும்,PEOPLE_SCHOLARS
அரிதே,ATTRIBUTE_RARE
அன்ன,ADJECTIVE_SUCH
மரபின்,TRADITION_LINEAGE
அனையோய்,PRONOUN_SUCHONE
நின்னை,PRONOUN_YOU
இன்னன்,PRONOUN_SUCH
என்று,CONJUNCTION_THAT
உரைத்தல்,ACTION_SPEAK
எமக்கு,PRONOUN_US
எவன்,QUESTION_WHY
எளிது,ATTRIBUTE_EASY
அருமை,ATTRIBUTE_RARE
நற்கு,ADVERB_WELL
அறியினும்,ACTION_KNOW
ஆர்வம்,EMOTION_DESIRE
நின்வயின்,LOCATION_YOURSIDE
பெருமையின்,ATTRIBUTE_GREATNESS
வல்லாயாம்,ABLE_CAN
இவண்,LOCATION_HERE
மொழிபவை,ACTION_SPEAK
மெல்லிய,ATTRIBUTE_SOFT
எனாஅ,CONJUNCTION_AS
வெறாஅது,ACTION_DISLIKE
அல்லி,FLOWER_LILY
அம்,ATTRIBUTE_BEAUTIFUL
திரு,DIVINE_GRACE
மறு,ATTRIBUTE_BLEMISH
மார்ப,BODY_CHEST
நீ,PRONOUN_YOU
அருளல்,ACTION_BLESS
வேண்டும்,ACTION_WANT
துதி,ACTION_PRAISE
மொழிகள்,LANGUAGE_WORDS
விறல்,ACTION_VALIANT
மிகு,ATTRIBUTE_MUCH
விழுச்சீர்,ATTRIBUTE_EXCELLENCE
அந்தணர்,PERSON_BRAHMIN
காக்கும்,ACTION_PROTECT
அறனும்,VIRTUE_DHARMA
ஆர்வலர்க்கு,PEOPLE_DESIRERS
அளியும்,GIFT_GIVING
நீ,PRONOUN_YOU
திறன்,ABILITY_SKILL
இலோர்த்,PEOPLE_WITHOUTSKILL
திருத்திய,ACTION_CORRECT
தீது,EVIL_BAD
தீர்,ACTION_REMOVE
சிறப்பின்,ATTRIBUTE_EXCELLENCE
மறனும்,VIRTUE_VALOR
மாற்றலர்க்கு,ENEMY_OPPONENTS
அணங்கும்,DIVINE_GODDESS
நீ,PRONOUN_YOU
அங்கண்,SPACE_REGION
ஏர்,ATTRIBUTE_BEAUTIFUL
வானத்து,LOCATION_SKY
அணி,OBJECT_ORNAMENT
நிலாத்,NATURE_MOON
திகழ்தரும்,ACTION_SHINE
திங்களும்,NATURE_MOON
தெறு,ACTION_BURN
கதிர்,NATURE_RAY
கனலியும்,NATURE_FIRE
நீ,PRONOUN_YOU
ஐந்தலை,ANIMAL_FIVEHEADED
உயிரிய,LIFE_LIVING
அணங்குடை,DIVINE_GODDESS
அரும்,ATTRIBUTE_RARE
திறல்,ABILITY_POWER
மைந்துடை,YOUTH_STRENGTH
ஒருவனும்,PERSON_ONE
மடங்கலும்,ANIMAL_LION
நீ,PRONOUN_YOU
நலம்,ATTRIBUTE_GOODNESS
முழுது,ATTRIBUTE_ALL
அளைஇய,ACTION_CONTAIN
புகர்,ATTRIBUTE_BLEMISH
அறு,ACTION_REMOVE
காட்சிப்,VISION_SIGHT
புலமும்,KNOWLEDGE_LEARNING
பூவனும்,NATURE_FLOWER
நாற்றமும்,AROMA
நீ,PRONOUN_YOU
வலன்,STRENGTH_POWER
உயர்,ACTION_RISE
எழிலியும்,CLOUD_RAINCLOUD
மாக,ATTRIBUTE_GREAT
விசும்பும்,LOCATION_SKY
நிலனும்,GEOGRAPHY_EARTH
நீடிய,ATTRIBUTE_LONG
இமயமும்,GEOGRAPHY_HIMALAYA
நீ,PRONOUN_YOU
அதனால்,CONJUNCTION_THEREFORE
இன்னோர்,PRONOUN_SUCHONES
அனையை,PRONOUN_SUCH
இனையையால்,PRONOUN_SUCH
என,CONJUNCTION_AS
அன்னோர்,PRONOUN_SUCHONES
யாம்,PRONOUN_WE
இவண்,LOCATION_HERE
காணாமையின்,ACTION_SEE
பொன்,MATERIAL_GOLD
அணி,OBJECT_ORNAMENT
நேமி,WEAPON_DISCUS
வலம்,POWER_STRENGTH
கொண்டு,ACTION_TAKE
ஏந்திய,ACTION_HOLD
மன்னுயிர்,LIFE_LIVINGBEINGS
முதல்வனை,FIRST_LORD
ஆதலின்,CONJUNCTION_BECAUSE
நின்னோர்,PRONOUN_YOUONES
அனையை,PRONOUN_SUCH
நின்,PRONOUN_YOUR
புகழோடும்,ATTRIBUTE_FAME
பொலிந்தே,ACTION_SHINE
நின்,PRONOUN_YOUR
ஒக்கும்,ACTION_RESEMBLE
புகழ்,ATTRIBUTE_FAME
நிழலவை,SHADE_SHADOW
பொன்,MATERIAL_GOLD
ஒக்கும்,ACTION_RESEMBLE
உடையவை,OBJECT_POSSESSIONS
புள்ளின்,BIRD
கொடியவை,BANNER_FLAG
புரிவளையினவை,OBJECT_BRACELETS
எள்ளுநர்க்,PEOPLE_DESPISERS
கடந்து,ACTION_CROSS
அட்ட,ACTION_KILL
இகல்,NATURE_CONFLICT
நேமியவை,WEAPON_DISCUS
மண்ணுறு,EARTH_SOIL
மணி,OBJECT_JEWEL
பாய்,ACTION_SPREAD
உருவினவை,SHAPE_FORM
எண்,NUMBER_COUNT
இறந்த,ACTION_EXCEED
புகழவை,ATTRIBUTE_FAME
எழில்,ATTRIBUTE_BEAUTY
மார்பினவை,BODY_CHEST
ஆங்கு,ADVERB_THUS
காமரு,DESIRE_LOVE
சுற்றமொடு,FAMILY_RELATIVES
ஒருங்கு,TOGETHER_UNITED
நின்,PRONOUN_YOUR
அடியுறை,FOOT_SHELTER
யாம்,PRONOUN_WE
இயைந்து,ACTION_UNITE
ஒன்றுபு,ACTION_UNITE
வைகலும்,TIME_DAILY
பொலிக,ACTION_SHINE
என,CONJUNCTION_AS
