Poem_Summary,Line_Original,Line_Summary,Word_Original,Hierarchical_Entity_Tag,Notes
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",எரிமலர் சினைஇய கண்ணை பூவை,"Eyes that resemble flame-flowers, O lotus-eyed one",எரிமலர்,DIVINE_ATTRIBUTE_FLAMEFLOWER,"Flame-flower; poetic metaphor for divine eyes resembling fiery blossoms"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",எரிமலர் சினைஇய கண்ணை பூவை,"Eyes that resemble flame-flowers, O lotus-eyed one",சினைஇய,VERB_RESEMBLANCE,"Resemble, are similar to; present tense verb"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",எரிமலர் சினைஇய கண்ணை பூவை,"Eyes that resemble flame-flowers, O lotus-eyed one",கண்ணை,BODY_PART_EYE,"Eyes; accusative case form of 'கண்'"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",எரிமலர் சினைஇய கண்ணை பூவை,"Eyes that resemble flame-flowers, O lotus-eyed one",பூவை,DIVINE_ADDRESS_FLOWERLORD,"O lotus-eyed one; poetic address to Vishnu"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",விரிமலர் புரையும் மேனியை மேனித்,"Form that resembles blossomed flowers, in your form",விரிமலர்,FLOWER_BLOSSOMED,"Blossomed flowers; fully opened flowers as metaphor"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",விரிமலர் புரையும் மேனியை மேனித்,"Form that resembles blossomed flowers, in your form",புரையும்,VERB_COMPARE,"Resemble, are like; comparative verb"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",விரிமலர் புரையும் மேனியை மேனித்,"Form that resembles blossomed flowers, in your form",மேனியை,BODY_FORM,"Form, body; accusative case of 'மேனி'"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",விரிமலர் புரையும் மேனியை மேனித்,"Form that resembles blossomed flowers, in your form",மேனித்,BODY_FORM_LOCATIVE,"In/on the form; locative case suffix"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",திரு ஞெமிர்ந்து அமர்ந்த மார்பினை மார்பில்,"The prosperity that shines and resides on your chest, on your chest",திரு,DIVINE_PROSPERITY,"Prosperity, auspiciousness; refers to Lakshmi on Vishnu's chest"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",திரு ஞெமிர்ந்து அமர்ந்த மார்பினை மார்பில்,"The prosperity that shines and resides on your chest, on your chest",ஞெமிர்ந்து,VERB_SHINE,"Shine, glow; present participle"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",திரு ஞெமிர்ந்து அமர்ந்த மார்பினை மார்பில்,"The prosperity that shines and resides on your chest, on your chest",அமர்ந்த,VERB_RESIDE,"Reside, sit; past participle"
