poem_name,poet_name,poem_number,line_number,english_pronounciation,Line_Original,meaning_of_line,tamil_meaning_of_line,tinai,Word_Original,Hierarchical_Entity_Tag,important_entity
"Kalittokai","Perunkadunkon","1","1","āṟu","ஆறு அறி அந்தணர்க்கு, அருமறை பல பகர்ந்து, தேறு நீர் சடைக் கரந்து, திரிபுரம் தீ மடுத்துக், கூறாமல் குறித்ததன் மேல் செல்லும், கடும் கூளி, மாறாப் போர் மணி மிடற்று எண் கையாய்! கேள் இனி;","O one with the unfading, victorious, jeweled, blue throat and eight hands! Listen now: You, who explain the difficult Vedas to the Brahmins who know the path, who hide the pure water in your matted hair, who plunged fire into the three cities, and who, without speaking, go towards the mark you aimed at, a fierce attendant.","வழியறிந்த அந்தணர்க்கு அரிய வேதங்களைப் பகர்ந்து, தெளிந்த நீரைச் சடையில் மறைத்து, முப்புரத்தை நெருப்பினால் அழித்து, சொல்லாமலேயே குறித்த இலக்கை நோக்கிச் செல்லும் கொடிய கூற்றுவனே! மாறாத போரை உடைய மணி நிறைந்த கழுத்தையும் எட்டுக் கைகளையும் உடையவனே! கேள் இப்போது;","Palai","ஆறு","PATH_WAY","yes"
"Kalittokai","Perunkadunkon","1","1","aṟi","ஆறு அறி அந்தணர்க்கு, அருமறை பல பகர்ந்து, தேறு நீர் சடைக் கரந்து, திரிபுரம் தீ மடுத்துக், கூறாமல் குறித்ததன் மேல் செல்லும், கடும் கூளி, மாறாப் போர் மணி மிடற்று எண் கையாய்! கேள் இனி;","O one with the unfading, victorious, jeweled, blue throat and eight hands! Listen now: You, who explain the difficult Vedas to the Brahmins who know the path, who hide the pure water in your matted hair, who plunged fire into the three cities, and who, without speaking, go towards the mark you aimed at, a fierce attendant.","வழியறிந்த அந்தணர்க்கு அரிய வேதங்களைப் பகர்ந்து, தெளிந்த நீரைச் சடையில் மறைத்து, முப்புரத்தை நெருப்பினால் அழித்து, சொல்லாமலேயே குறித்த இலக்கை நோக்கிச் செல்லும் கொடிய கூற்றுவனே! மாறாத போரை உடைய மணி நிறைந்த கழுத்தையும் எட்டுக் கைகளையும் உடையவனே! கேள் இப்போது;","Palai","அறி","ACTION_KNOW","yes"
"Kalittokai","Perunkadunkon","1","1","antaṇarkku","ஆறு அறி அந்தணர்க்கு, அருமறை பல பகர்ந்து, தேறு நீர் சடைக் கரந்து, திரிபுரம் தீ மடுத்துக், கூறாமல் குறித்ததன் மேல் செல்லும், கடும் கூளி, மாறாப் போர் மணி மிடற்று எண் கையாய்! கேள் இனி;","O one with the unfading, victorious, jeweled, blue throat and eight hands! Listen now: You, who explain the difficult Vedas to the Brahmins who know the path, who hide the pure water in your matted hair, who plunged fire into the three cities, and who, without speaking, go towards the mark you aimed at, a fierce attendant.","வழியறிந்த அந்தணர்க்கு அரிய வேதங்களைப் பகர்ந்து, தெளிந்த நீரைச் சடையில் மறைத்து, முப்புரத்தை நெருப்பினால் அழித்து, சொல்லாமலேயே குறித்த இலக்கை நோக்கிச் செல்லும் கொடிய கூற்றுவனே! மாறாத போரை உடைய மணி நிறைந்த கழுத்தையும் எட்டுக் கைகளையும் உடையவனே! கேள் இப்போது;","Palai","அந்தணர்க்கு","PERSON_BRAHMIN","yes"
"Kalittokai","Perunkadunkon","1","1","arumaṟai","ஆறு அறி அந்தணர்க்கு, அருமறை பல பகர்ந்து, தேறு நீர் சடைக் கரந்து, திரிபுரம் தீ மடுத்துக், கூறாமல் குறித்ததன் மேல் செல்லும், கடும் கூளி, மாறாப் போர் மணி மிடற்று எண் கையாய்! கேள் இனி;","O one with the unfading, victorious, jeweled, blue throat and eight hands! Listen now: You, who explain the difficult Vedas to the Brahmins who know the path, who hide the pure water in your matted hair, who plunged fire into the three cities, and who, without speaking, go towards the mark you aimed at, a fierce attendant.","வழியறிந்த அந்தணர்க்கு அரிய வேதங்களைப் பகர்ந்து, தெளிந்த நீரைச் சடையில் மறைத்து, முப்புரத்தை நெருப்பினால் அழித்து, சொல்லாமலேயே குறித்த இலக்கை நோக்கிச் செல்லும் கொடிய கூற்றுவனே! மாறாத போரை உடைய மணி நிறைந்த கழுத்தையும் எட்டுக் கைகளையும் உடையவனே! கேள் இப்போது;","Palai","அருமறை","SCRIPTURE_VEDA","yes"
"Kalittokai","Perunkadunkon","1","1","pala","ஆறு அறி அந்தணர்க்கு, அருமறை பல பகர்ந்து, தேறு நீர் சடைக் கரந்து, திரிபுரம் தீ மடுத்துக், கூறாமல் குறித்ததன் மேல் செல்லும், கடும் கூளி, மாறாப் போர் மணி மிடற்று எண் கையாய்! கேள் இனி;","O one with the unfading, victorious, jeweled, blue throat and eight hands! Listen now: You, who explain the difficult Vedas to the Brahmins who know the path, who hide the pure water in your matted hair, who plunged fire into the three cities, and who, without speaking, go towards the mark you aimed at, a fierce attendant.","வழியறிந்த அந்தணர்க்கு அரிய வேதங்களைப் பகர்ந்து, தெளிந்த நீரைச் சடையில் மறைத்து, முப்புரத்தை நெருப்பினால் அழித்து, சொல்லாமலேயே குறித்த இலக்கை நோக்கிச் செல்லும் கொடிய கூற்றுவனே! மாறாத போரை உடைய மணி நிறைந்த கழுத்தையும் எட்டுக் கைகளையும் உடையவனே! கேள் இப்போது;","Palai","பல","QUANTITY_MANY","yes"
"Kalittokai","Perunkadunkon","1","1","pakarttu","ஆறு அறி அந்தணர்க்கு, அருமறை பல பகர்ந்து, தேறு நீர் சடைக் கரந்து, திரிபுரம் தீ மடுத்துக், கூறாமல் குறித்ததன் மேல் செல்லும், கடும் கூளி, மாறாப் போர் மணி மிடற்று எண் கையாய்! கேள் இனி;","O one with the unfading, victorious, jeweled, blue throat and eight hands! Listen now: You, who explain the difficult Vedas to the Brahmins who know the path, who hide the pure water in your matted hair, who plunged fire into the three cities, and who, without speaking, go towards the mark you aimed at, a fierce attendant.","வழியறிந்த அந்தணர்க்கு அரிய வேதங்களைப் பகர்ந்து, தெளிந்த நீரைச் சடையில் மறைத்து, முப்புரத்தை நெருப்பினால் அழித்து, சொல்லாமலேயே குறித்த இலக்கை நோக்கிச் செல்லும் கொடிய கூற்றுவனே! மாறாத போரை உடைய மணி நிறைந்த கழுத்தையும் எட்டுக் கைகளையும் உடையவனே! கேள் இப்போது;","Palai","பகர்ந்து","ACTION_EXPLAIN","yes"
"Kalittokai","Perunkadunkon","1","1","tēṟu","ஆறு அறி அந்தணர்க்கு, அருமறை பல பகர்ந்து, தேறு நீர் சடைக் கரந்து, திரிபுரம் தீ மடுத்துக், கூறாமல் குறித்ததன் மேல் செல்லும், கடும் கூளி, மாறாப் போர் மணி மிடற்று எண் கையாய்! கேள் இனி;","O one with the unfading, victorious, jeweled, blue throat and eight hands! Listen now: You, who explain the difficult Vedas to the Brahmins who know the path, who hide the pure water in your matted hair, who plunged fire into the three cities, and who, without speaking, go towards the mark you aimed at, a fierce attendant.","வழியறிந்த அந்தணர்க்கு அரிய வேதங்களைப் பகர்ந்து, தெளிந்த நீரைச் சடையில் மறைத்து, முப்புரத்தை நெருப்பினால் அழித்து, சொல்லாமலேயே குறித்த இலக்கை நோக்கிச் செல்லும் கொடிய கூற்றுவனே! மாறாத போரை உடைய மணி நிறைந்த கழுத்தையும் எட்டுக் கைகளையும் உடையவனே! கேள் இப்போது;","Palai","தேறு","QUALITY_PURE","yes"
"Kalittokai","Perunkadunkon","1","1","nīr","ஆறு அறி அந்தணர்க்கு, அருமறை பல பகர்ந்து, தேறு நீர் சடைக் கரந்து, திரிபுரம் தீ மடுத்துக், கூறாமல் குறித்ததன் மேல் செல்லும், கடும் கூளி, மாறாப் போர் மணி மிடற்று எண் கையாய்! கேள் இனி;","O one with the unfading, victorious, jeweled, blue throat and eight hands! Listen now: You, who explain the difficult Vedas to the Brahmins who know the path, who hide the pure water in your matted hair, who plunged fire into the three cities, and who, without speaking, go towards the mark you aimed at, a fierce attendant.","வழியறிந்த அந்தணர்க்கு அரிய வேதங்களைப் பகர்ந்து, தெளிந்த நீரைச் சடையில் மறைத்து, முப்புரத்தை நெருப்பினால் அழித்து, சொல்லாமலேயே குறித்த இலக்கை நோக்கிச் செல்லும் கொடிய கூற்றுவனே! மாறாத போரை உடைய மணி நிறைந்த கழுத்தையும் எட்டுக் கைகளையும் உடையவனே! கேள் இப்போது;","Palai","நீர்","WATER_PURE","yes"
"Kalittokai","Perunkadunkon","1","1","caṭaik","ஆறு அறி அந்தணர்க்கு, அருமறை பல பகர்ந்து, தேறு நீர் சடைக் கரந்து, திரிபுரம் தீ மடுத்துக், கூறாமல் குறித்ததன் மேல் செல்லும், கடும் கூளி, மாறாப் போர் மணி மிடற்று எண் கையாய்! கேள் இனி;","O one with the unfading, victorious, jeweled, blue throat and eight hands! Listen now: You, who explain the difficult Vedas to the Brahmins who know the path, who hide the pure water in your matted hair, who plunged fire into the three cities, and who, without speaking, go towards the mark you aimed at, a fierce attendant.","வழியறிந்த அந்தணர்க்கு அரிய வேதங்களைப் பகர்ந்து, தெளிந்த நீரைச் சடையில் மறைத்து, முப்புரத்தை நெருப்பினால் அழித்து, சொல்லாமலேயே குறித்த இலக்கை நோக்கிச் செல்லும் கொடிய கூற்றுவனே! மாறாத போரை உடைய மணி நிறைந்த கழுத்தையும் எட்டுக் கைகளையும் உடையவனே! கேள் இப்போது;","Palai","சடைக்","BODY_PART_HAIR","yes"
"Kalittokai","Perunkadunkon","1","1","karantu","ஆறு அறி அந்தணர்க்கு, அருமறை பல பகர்ந்து, தேறு நீர் சடைக் கரந்து, திரிபுரம் தீ மடுத்துக், கூறாமல் குறித்ததன் மேல் செல்லும், கடும் கூளி, மாறாப் போர் மணி மிடற்று எண் கையாய்! கேள் இனி;","O one with the unfading, victorious, jeweled, blue throat and eight hands! Listen now: You, who explain the difficult Vedas to the Brahmins who know the path, who hide the pure water in your matted hair, who plunged fire into the three cities, and who, without speaking, go towards the mark you aimed at, a fierce attendant.","வழியறிந்த அந்தணர்க்கு அரிய வேதங்களைப் பகர்ந்து, தெளிந்த நீரைச் சடையில் மறைத்து, முப்புரத்தை நெருப்பினால் அழித்து, சொல்லாமலேயே குறித்த இலக்கை நோக்கிச் செல்லும் கொடிய கூற்றுவனே! மாறாத போரை உடைய மணி நிறைந்த கழுத்தையும் எட்டுக் கைகளையும் உடையவனே! கேள் இப்போது;","Palai","கரந்து","ACTION_CONCEAL","yes"
