poem_name,poet_name,poem_number,line_number,english_pronounciation,Line_Original,meaning_of_line,tamil_meaning_of_line,tinai,Word_Original,Hierarchical_Entity_Tag,important_entity
Aiṅkuṟunūṟu,Unknown,1,1,vāḻi,வாழி ஆதன் வாழி அவினி,Long live Ātaṉ! Long live Aviṉi!,வாழ்க ஆதன்! வாழ்க அவினி!,Marutham,வாழி,ACTION_BLESS,yes
Aiṅkuṟunūṟu,Unknown,1,1,ātaṉ,வாழி ஆதன் வாழி அவினி,Long live Ātaṉ! Long live Aviṉi!,வாழ்க ஆதன்! வாழ்க அவினி!,Marutham,ஆதன்,PERSON_NAME,yes
Aiṅkuṟunūṟu,Unknown,1,1,vāḻi,வாழி ஆதன் வாழி அவினி,Long live Ātaṉ! Long live Aviṉi!,வாழ்க ஆதன்! வாழ்க அவினி!,Marutham,வாழி,ACTION_BLESS,yes
Aiṅkuṟunūṟu,Unknown,1,1,aviṉi,வாழி ஆதன் வாழி அவினி,Long live Ātaṉ! Long live Aviṉi!,வாழ்க ஆதன்! வாழ்க அவினி!,Marutham,அவினி,PERSON_NAME,yes
Aiṅkuṟunūṟu,Unknown,1,2,neṟpala,நெற்பல பொலிக பொன்பெரிது சிறக்க,May the many grains of paddy flourish! May gold greatly abound!,நெல் மிகுதியாக விளையட்டும்! பொன் மிகப் பெரிதும் சிறக்கட்டும்!,Marutham,நெற்பல,OBJECT_PADDY,yes
Aiṅkuṟunūṟu,Unknown,1,2,polika,நெற்பல பொலிக பொன்பெரிது சிறக்க,May the many grains of paddy flourish! May gold greatly abound!,நெல் மிகுதியாக விளையட்டும்! பொன் மிகப் பெரிதும் சிறக்கட்டும்!,Marutham,பொலிக,ACTION_FLOURISH,yes
Aiṅkuṟunūṟu,Unknown,1,2,poṉperitu,நெற்பல பொலிக பொன்பெரிது சிறக்க,May the many grains of paddy flourish! May gold greatly abound!,நெல் மிகுதியாக விளையட்டும்! பொன் மிகப் பெரிதும் சிறக்கட்டும்!,Marutham,பொன்பெரிது,MATERIAL_GOLD_ABUNDANCE,yes
Aiṅkuṟunūṟu,Unknown,1,2,ciṟakka,நெற்பல பொலிக பொன்பெரிது சிறக்க,May the many grains of paddy flourish! May gold greatly abound!,நெல் மிகுதியாக விளையட்டும்! பொன் மிகப் பெரிதும் சிறக்கட்டும்!,Marutham,சிறக்க,ACTION_ABOUND,yes
Aiṅkuṟunūṟu,Unknown,1,3,eṉavēṭ,எனவேட் டோளே யாயே யாமே,Thus longed-for (was) my mother; thus longed-for (were) we.,என்று விரும்பினாள் என் தாய்; என்று நாங்களும் விரும்பினோம்.,Marutham,எனவேட்,ACTION_DESIRE,yes
Aiṅkuṟunūṟu,Unknown,1,3,ṭōḷē,எனவேட் டோளே யாயே யாமே,Thus longed-for (was) my mother; thus longed-for (were) we.,என்று விரும்பினாள் என் தாய்; என்று நாங்களும் விரும்பினோம்.,Marutham,டோளே,PRONOUN_SHE,no
Aiṅkuṟunūṟu,Unknown,1,3,yāyē,எனவேட் டோளே யாயே யாமே,Thus longed-for (was) my mother; thus longed-for (were) we.,என்று விரும்பினாள் என் தாய்; என்று நாங்களும் விரும்பினோம்.,Marutham,யாயே,KINSHIP_MOTHER,yes
Aiṅkuṟunūṟu,Unknown,1,3,yāmē,எனவேட் டோளே யாயே யாமே,Thus longed-for (was) my mother; thus longed-for (were) we.,என்று விரும்பினாள் என் தாய்; என்று நாங்களும் விரும்பினோம்.,Marutham,யாமே,PRONOUN_WE,no
Aiṅkuṟunūṟu,Unknown,1,4,naṉaiya,நனைய காஞ்சிச் சினைய சிறுமீன்,The wet (blooming) kāñci flowers (and) the fatty small fish.,"ஈரமான (மலர்ந்த) காஞ்சிப் பூக்களும், கொழுத்த சிறு மீன்களும்",Marutham,நனைய,QUALITY_WET,yes
Aiṅkuṟunūṟu,Unknown,1,4,kāñcic,நனைய காஞ்சிச் சினைய சிறுமீன்,The wet (blooming) kāñci flowers (and) the fatty small fish.,"ஈரமான (மலர்ந்த) காஞ்சிப் பூக்களும், கொழுத்த சிறு மீன்களும்",Marutham,காஞ்சிச்,FLOWER_KANCHI,yes
