Word_Original,Hierarchical_Entity_Tag
"வாழி,LONG_LIVE"
"ஆதன்,NAME"
"அவினி,NAME"
"நெல்,RICE"
"பல,MUCH"
"பொலிக,FLOURISH"
"பொன்,GOLD"
"பெரிது,GREAT"
"சிறக்க,FLOURISH"
"என,SAY"
"வேட்டோளே,WISHED"
"யாயே,MOTHER"
"யாமே,WE"
"நனைய,WET"
"காஞ்சி,KANCHI"
"சினைய,BRANCH"
"சிறுமீன்,SMALL_FISH"
"யாணர்,RENEWAL"
"ஊரன்,CHIEFTAIN"
"வாழ்க,LIVE"
"பாணனும்,BARD"
"வாழ்க,LIVE"
"வேட்டேமே,WISHED"
"விளைக,GROW"
"வயலே,FIELD"
"வருக,COME"
"இரவலர்,BEGGARS"
"பல்லிதல்,MANY"
"நீலமொடு,WITH_BLUE_LILY"
"நெய்தல்,NEYDAL_LILY"
"நிகர்க்கும்,EQUAL"
"தண்துறை,COOL_GHAT"
"யூரன்,CHIEFTAIN"
"கேண்மை,FRIENDSHIP"
"வழிவழிச்,LINEAGE"
"சிறக்க,FLOURISH"
"பால்,MILK"
"பல,MUCH"
"ஊறுக,FLOW"
"பகடு,BULL"
"சிறக்க,FLOURISH"
"வித்திய,SOWN"
"உழவர்,FARMERS"
"நெல்லோடு,WITH_RICE"
"பெயரும்,GO"
"பூக்க,FLOWER"
"லூரன்,CHIEFTAIN"
"தன்மனை,HIS_HOME"
"வாழ்க்கை,LIFE"
"பொலிக,FLOURISH"
"பகைவர்,ENEMIES"
"புல்,GRASS"
"ஆர்க,EAT"
"பார்ப்பார்,PRIESTS"
"ஓதுக,CHANT"
"பூத்த,BLOOMED"
"கரும்பிற்,SUGARCANE"
"காய்த்த,FRUITED"
"நெல்லின்,RICE"
"கழனி,FIELD"
"யூரன்,CHIEFTAIN"
"மார்பு,CHEST"
"பழன்,FRUIT"
"மாகற்க,CHILDREN"
"பசியில்,HUNGER"
"ஆகுக,BECOME"
"பிணி,SICKNESS"
"கேன்,EVIL"
"நீங்குக,LEAVE"
"முதலை,CROCODILE"
"போத்து,FEMALE"
"முழுமீன்,FISH"
"ஆரும்,EAT"
"தண்துறை,COOL_GHAT"
"யூரன்,CHIEFTAIN"
"தேரேம்,CHARIOT"
"முன்கடை,FRONT_GATE"
"நிற்க,STAND"
"வேந்துபகை,KING_ENMITY"
"தணிக,COOL"
"யாண்டுபல,YEARS_MANY"
"நந்துக,INCREASE"
"மலர்ந்த,BLOOMED"
"பொய்கை,POND"
"முகைந்த,BUDDED"
"தாமரைத்,LOTUS"
"தண்துறை,COOL_GHAT"
"யூரண்,CHIEFTAIN"
"வரைக,GIVE"
"எந்தையும்,MY_FATHER"
"கொடுக்க,GIVE"
"அற,RIGHTEOUSNESS"
"நனி,VERY"
"சிறக்க,FLOURISH"
"அல்லது,EVIL"
"கெடுக,PERISH"
"வேட்டோளே,WISHED"
"உளை,MANE"
"மருதத்து,MARUTHAM_TREE"
"க்கி,?"
"கிளைக்குரு,?"
"தண்துறை,COOL_GHAT"
"யூரன்,CHIEFTAIN"
"தன்னூர்க்,HIS_VILLAGE"
"கொண்டனன்,TOOK"
"செல்க,GO"
"அரசு,KING"
"முறை,JUSTICE"
"செய்க,DO"
"களவில்,THEFT"
"லாகுக,?"
"அலங்கு,WAVING"
"சினை,BRANCH"
"மாஅத்து,MANGO_TREE"
"அணிமயில்,BEAUTIFUL_PEACOCK"
"இருக்கும்,SITS"
"புக்கு,ENTERING"
"அஞல்,?"
"ஊரன்,CHIEFTAIN"
"சுளீவண்,?"
"வாய்ப்ப,SUITABLE"
"தாக,BE"
"வேட்டோமே,WISHED"
"நன்று,GOOD"
"பெரிது,GREAT"
"தீது,EVIL"
"இல்,NO"
"ஆகுக,BECOME"
"கயலார்,FISH_EYED"
"நாரை,STORK"
"போர்வின்,BACK"
"சேக்கும்,REST"
"கேண்மை,FRIENDSHIP"
"அம்பல்,GOSSIP"
"ஆகற்க,AVOID"
"மாரி,RAIN"
"வாய்க்க,PROVIDE"
"வள,WEALTH"
"நனி,VERY"
"பூத்த,BLOOMED"
"மாஅத்துப்,MANGO_TREE"
"புலால்,FLESH"
"அஞ்,?"
"சிறுமீன்,SMALL_FISH"
"தண்துறை,COOL_GHAT"
"யூரன்,CHIEFTAIN"
"தன்னோடு,WITH_HIM"
"கொண்டனன்,TOOK"
"செல்க,GO"
"மனை,HOME"
"நடு,CENTER"
"வயலை,VAZHAL"
"வேழம்,ELEPHANT"
"சுற்றும்,SURROUND"
"துறைகேழ்,GHAT"
"ஊரன்,CHIEFTAIN"
"கொடுமை,CRUELTY"
"நாணி,ASHAMED"
"நல்லன்,GOOD"
"என்றும்,ALWAYS"
"யாமே,WE"
"அல்லன்,NOT"
"என்னும்,SAYS"
"என்,MY"
"தடமென்,BROAD_SOFT"
"தோளே,SHOULDER"
"கரைசேர்,SHORE_JOINED"
"வேழம்,ELEPHANT"
"கரும்பிற்,SUGARCANE"
"பூக்கும்,BLOOMS"
"துறைகேழ்,GHAT"
"நன்றும்,WELL"
"ஆற்றுக,BEAR"
"தில்ல,NOT"
"யாமே,WE"
"தோற்க,FAIL"
"தில்ல,NOT"
"என்,MY"
"தடமென்,BROAD_SOFT"
"தோளே,SHOULDER"
"பரியுடை,FEARFUL"
"நன்மான்,GOOD_HORSE"
"பொங்குளை,MANE"
"யன்ன,LIKE"
"வடகரை,NORTH_BANK"
"வேழம்,ELEPHANT"
"வெண்பூ,WHITE_FLOWER"
"பகரும்,GIVE"
"தண்துறை,COOL_GHAT"
"யூரண்,CHIEFTAIN"
"பெண்டிர்,WOMEN"
"துஞ்சூர்,SLEEP_VILLAGE"
"யாமத்துந்,NIGHT"
"துயல்,SLEEP"
"அறியலரே,NOT_KNOW"
"கொடிப்பூ,FLAG_FLOWER"
"வேழம்,ELEPHANT"
"தீண்டி,TOUCHING"
"அயல,NEARBY"
"வடுக்கொண்,SCAR"
"மாஅத்து,MANGO_TREE"
"வண்தளிர்,FINE_SPROUT"
"நுடங்கும்,WAVES"
"மணித்துறை,GEM_GHAT"
"வீரன்,HERO"
"மார்பே,CHEST"
"பனித்துயில்,DEW_SLEEP"
"செய்யும்,DOES"
"இன்சாயற்றே,SWEET_NATURE"
"மண்,EARTH"
"ஆடு,PLAY"
"மலிர்நிறை,FULL"
"விரும்பிய,DESIRED"
"ஒண்தழைப்,BRIGHT_LEAF"
"புனலாடு,BATHE"
"மகளிர்க்குப்,WOMEN"
"புணர்துணை,LOVER"
"உதவும்,HELPS"
"வேழ,ELEPHANT"
"மூதூர்,OLD_CITY"
"ஊரன்,CHIEFTAIN"
"ஊரன்,CHIEFTAIN"
"ஆயினும்,EVEN_IF"
"ஊரனல்லன்னே,NOT_LIKE_CHIEFTAIN"
"ஓங்குபூ,HIGH_FLOWER"
"வேழத்துத்,ELEPHANT"
"தூம்புடை,HOLLOW"
"திரள்கால்,THICK_LEG"
"சிறுதொழு,SMALL_WORK"
"மகளிர்,WOMEN"
"அஞ்சனம்,COLIRIUM"
"பெய்யும்,PUT"
"பூக்க,FLOWER"
"அஞல்,?"
"ஊரனை,CHIEFTAIN"
"உள்ளி,THINKING"
"பூப்போல்,FLOWER_LIKE"
"உண்கண்,PAINTED_EYE"
"பொன்போர்த்தனவே,GOLD_COVERED"
"புதன்மிசை,NEW_PLACE"
"நுடங்கும்,WAVES"
"வேழ,ELEPHANT"
"வெண்பூ,WHITE_FLOWER"
"விசும்பாடு,SKY_PLAY"
"குருகின்,HERON"
"தன்றும்,ITSELF"
"ஊரன்,CHIEFTAIN"
"புதுவோர்,NEW_PEOPLE"
"மேவலன்,NOT_ACCEPT"
"ஆகலின்,BECAUSE"
"வறிதாகின்று,EMPTY"
"என்,MY"
"மடங்கெழு,GENTLE"
"நெஞ்சே,HEART"
