"இறைவன்,DIVINE_BEING"
"திருவுள்ளம்,DIVINE_WILL"
"பெருந்தேவனார்,POET_NAME"
"கண்ணி,GARLAND"
"கார்,DARK_CLOUD"
"நறும்பு,FRAGRANCE"
"கொன்றை,FLOWER_FLAME"
"காமர்,BEAUTY"
"வண்ணம்,COLOR"
"மார்பு,CHEST"
"தார்,GARLAND"
"ஊர்தி,VEHICLE"
"வால்,WHITE"
"வெள்ளேறு,BULL_WHITE"
"சிறந்த,EXCELLENT"
"சீர்,GLORY"
"கொடி,FLAG"
"அவ்வேறு,BULL"
"கறை,NECK_BLUE"
"மிடறு,NECK"
"அணியல்,ORNAMENT"
"அந்தணர்,PRIEST"
"நுவல,UTTER"
"பெண்,WOMAN"
"உரு,FORM"
"திறம்,SIDE"
"அடக்கி,RESTRAIN"
"கரக்கும்,CONCEAL"
"பிறை,CRESCENT_MOON"
"நுதல்,FOREHEAD"
"வண்ணம்,APPEARANCE"
"பதினெண்,EIGHTEEN"
"கணன்,TROOP"
"ஏத்த,PRAISE"
"உயிர்,LIFE"
"ஏமம்,PROTECTION"
"நீர்,WATER"
"அறவு,DRY"
"கரகம்,POT"
"சடை,MATTED_HAIR"
"அருந்தவோன்,ASCETIC"
"முரஞ்சியூர்,PLACE"
"முடிநாகராயர்,POET_NAME"
"சேரமான்,CHERA_KING"
"பெருஞ்சோற்று,GREAT_FOOD"
"உதியன்,NAME"
"சேரலாதன்,CHERA_KING"
"மண்,EARTH"
"திணிந்த,SOLID"
"நிலனு,EARTH"
"நிலம்,EARTH"
"ஏந்திய,LIFTED"
"விசும்பு,SKY"
"தைவரு,TOUCHING"
"வளி,WIND"
"வளி,WIND"
"தலைஇய,ACCOMPANIED"
"தீ,FIRE"
"முரணிய,OPPOSED"
"நீர்,WATER"
"ஐம்பெரும்,FIVE_GREAT"
"பூதம்,ELEMENT"
"இயற்கை,NATURE"
"போற்றார்,ENEMY"
"பொறுத்தல்,FORGIVE"
"சூழ்ச்சி,STRATEGY"
"அகலம்,BREADTH"
"வலி,STRENGTH"
"தெறல்,DESTROY"
"அணி,ORNAMENT"
"கடல்,SEA"
"பிறந்த,BORN"
"ஞாயிறு,SUN"
"பெயர்த்தும்,AGAIN"
"வெண்தலை,WHITE_HEAD"
"புணரி,WAVE"
"குடகடல்,WESTERN_SEA"
"குளிக்கும்,BATHE"
"யாணர்,FRESH"
"வைப்பு,REGION"
"நன்னாடு,GOOD_COUNTRY"
"பொருந,WARRIOR"
"வானம்,SKY"
"அரம்பனை,LIMIT"
"அலங்குளை,FLOWING_MANE"
"புரவி,HORSE"
"ஐவர்,FIVE"
"சினைஇ,ANGER"
"நிலந்தலை,EART"
"கொண்ட,CAPTURED"
"பொலம்பூ,FLOWER_GOLD"
"தும்பை,FLOWER_THUMBA"
"ஈரைம்,SEVEN_FIVE"
"பதின்மர்,TEN"
"பொருது,FIGHT"
"களம்,BATTLEFIELD"
"ஒழிய,PERISH"
"மிகுபதம்,GREAT_FAVOR"
"வரையாது,UNLIMITED"
