Word_Original,Hierarchical_Entity_Tag
வையை,RIVER_VAIYAI
(பருவம்,SEASON
கண்டு,ACTION_SEE
வன்புறை,ACTION_WEAR
எதிர்,OPPOSITE
அழிந்த,ACTION_DESTROY
தலைமகளது,OF_HEROINE
ஆற்றாமை,HELPLESSNESS
கண்டு,ACTION_SEE
தோழி,FRIEND
தூது,MESSAGE
விட,ACTION_SEND
சென்ற,ACTION_GO
பாணன்,BARD
பாசறைக்கண்,IN_CAMP
தலைமகற்கு,FOR_HERO
பருவ,SEASONAL
வரவும்,ARRIVAL
வையை,RIVER_VAIYAI
நீர்,WATER
விழவு,FESTIVAL
அணியும்,ORNAMENT
ஆங்குப்,THERE
பட்ட,ACTION_FALL
செய்தியும்,NEWS
கூறியது,ACTION_SPEAK
பாடியவர்,POET
கரும்பிள்ளை,POET_KARUMBILAI
பூதனார்,POET_BOOTHANAR
இசையமைத்தவர்,COMPOSER
நல்லச்சுதனார்,MUSICIAN_NALLACHUTHANAR
பண்,MELODY
பாலையாழ்,MUSIC_PALAYA_YAZH
மலைவரை,MOUNTAIN
மாலை,EVENING
அழி,ACTION_DESTROY
பெயல்,RAIN
காலை,MORNING
செல,ACTION_GO
வரை,MOUNTAIN
காணாக்,ACTION_NOTSEE
கடல்தலைக்,SEAFRONT
கூட,ACTION_JOIN
நில,EARTH
வரை,MOUNTAIN
அல்லல்,TROUBLE
நிழத்த,ACTION_SMEAR
விரிந்த,ACTION_SPREAD
பலவுறு,FRUITS
போர்வை,BLANKET
பரு,BIG
மணல்,SAND
மூஉய்,ACTION_ROT
வரி,STRIPED
அரி,ACTION_REMOVE
ஆணு,MALE
முகிழ்,BUD
விரி,ACTION_SPREAD
சினைய,BRANCH
மாந்,GREAT
தீம்,SWEET
தளிரொடு,WITH_LEAF
வாழையிலை,LEAF
மயக்கி,ACTION_CONFUSE
ஆய்ந்து,ACTION_EXAMINE
அளவா,ACTION_NOTMEASURE
ஓசை,SOUND
அறையூஉப்,ACTION_TELL
பறை,DRUM
அறையப்,ACTION_STRIKE
போந்தது,ACTION_GO
வையை,RIVER_VAIYAI
புனல்,WATER
புனலாடும்,TOBATH
பொருட்டு,PURPOSE
மகளிர்,WOMEN
வையை,RIVER_VAIYAI
கரை,BANK
சேர்தல்,ACTION_JOIN
புனல்,WATER
மண்டி,ACTION_PILE
